month,code,numerator,denominator
2020-01-01,07K,10046.0,22654.0
2020-06-01,07K,8948.0,21351.0
2020-10-01,07K,9183.0,21952.0
2022-02-01,07K,8112.0,19952.0
2019-09-01,07K,9536.0,21298.0
2021-08-01,07K,8203.0,20289.0
2021-01-01,07K,8777.0,21619.0
2020-12-01,07K,9220.0,22545.0
2020-02-01,07K,9006.0,20546.0
2019-12-01,07K,10290.0,23106.0
2021-07-01,07K,9069.0,21906.0
2021-02-01,07K,7750.0,19435.0
2019-02-01,07K,9159.0,20213.0
2021-10-01,07K,9089.0,21669.0
2021-04-01,07K,8196.0,20401.0
2020-03-01,07K,14053.0,29747.0
2019-04-01,07K,9204.0,20685.0
2020-04-01,07K,11110.0,25214.0
2019-07-01,07K,9472.0,21333.0
2019-08-01,07K,9912.0,22503.0
2021-03-01,07K,8511.0,21337.0
2020-11-01,07K,9037.0,21721.0
2019-01-01,07K,10437.0,22587.0
2019-03-01,07K,9622.0,21435.0
2019-10-01,07K,9908.0,22327.0
2021-09-01,07K,9091.0,21971.0
2021-06-01,07K,8694.0,21113.0
2021-11-01,07K,9117.0,22105.0
2019-05-01,07K,9705.0,21821.0
2019-11-01,07K,9744.0,21839.0
2021-05-01,07K,8181.0,20278.0
2020-08-01,07K,8132.0,19573.0
2019-06-01,07K,9276.0,20856.0
2022-01-01,11X,16869.0,40940.0
2023-04-01,11X,15341.0,41167.0
2023-06-01,11X,16750.0,44532.0
2022-04-01,11X,16183.0,42278.0
2023-05-01,11X,16106.0,44419.0
2020-07-01,11X,16889.0,41020.0
2020-09-01,11X,17729.0,41900.0
2022-06-01,11X,16683.0,42330.0
2022-08-01,11X,16402.0,43363.0
2023-03-01,11X,17332.0,45960.0
2023-07-01,11X,15258.0,41197.0
2023-11-01,11X,17798.0,47562.0
2023-10-01,11X,16318.0,42859.0
2022-03-01,11X,17668.0,43777.0
2023-09-01,11X,14999.0,42490.0
2022-07-01,11X,16987.0,44278.0
2022-12-01,11X,18824.0,47211.0
2020-05-01,11X,17591.0,41991.0
2023-02-01,11X,15769.0,41144.0
2021-12-01,11X,19324.0,46310.0
2022-05-01,11X,16918.0,44084.0
2022-10-01,11X,16713.0,44889.0
2022-11-01,11X,17268.0,45128.0
2022-09-01,11X,16258.0,42428.0
2023-01-01,11X,18020.0,45925.0
2023-08-01,11X,15104.0,41933.0
2023-12-01,27D,31083.0,86047.0
2024-01-01,27D,31220.0,87777.0
2023-07-01,00N,8958.0,15721.0
2022-03-01,00N,10099.0,17536.0
2022-10-01,00N,9448.0,16463.0
2023-11-01,00N,9775.0,16988.0
2022-04-01,00N,9539.0,16474.0
2022-05-01,00N,9916.0,17091.0
2023-10-01,00N,9695.0,16780.0
2024-01-01,00N,10249.0,17823.0
2021-12-01,00N,11023.0,18960.0
2022-09-01,00N,9883.0,17029.0
2023-05-01,00N,9628.0,16835.0
2023-12-01,00N,10095.0,17521.0
2023-01-01,00N,9776.0,16973.0
2022-02-01,00N,9161.0,15888.0
2023-03-01,00N,9592.0,16635.0
2023-04-01,00N,9256.0,16171.0
2023-06-01,00N,9873.0,17202.0
2022-11-01,00N,10410.0,17890.0
2023-09-01,00N,9539.0,16691.0
2023-08-01,00N,9259.0,16251.0
2022-06-01,00N,9939.0,17109.0
2022-07-01,00N,9520.0,16526.0
2022-08-01,00N,9036.0,15746.0
2022-01-01,00P,16220.0,28197.0
2023-02-01,01J,10163.0,17925.0
2021-11-01,01T,10140.0,17449.0
2022-12-01,01T,10610.0,18418.0
2019-05-01,03F,18034.0,29401.0
2019-09-01,03F,17776.0,28788.0
2020-05-01,03F,16420.0,27380.0
2019-02-01,03F,16619.0,27324.0
2019-03-01,03F,18163.0,29618.0
2019-11-01,03F,18540.0,29982.0
2020-04-01,03F,17893.0,29411.0
2020-11-01,03F,16104.0,26863.0
2019-10-01,03F,18561.0,30267.0
2020-03-01,03F,22555.0,36376.0
2021-05-01,03F,14806.0,24979.0
2021-07-01,03F,15675.0,26465.0
2020-02-01,03F,16220.0,26503.0
2019-04-01,03F,17136.0,28022.0
2021-02-01,03F,14185.0,23990.0
2021-01-01,03F,15792.0,26527.0
2020-08-01,03F,14970.0,24829.0
2020-10-01,03F,16845.0,27910.0
2020-07-01,03F,16319.0,27333.0
2021-04-01,03F,15332.0,25889.0
2021-10-01,03F,15460.0,26316.0
2019-01-01,03F,19244.0,31407.0
2021-08-01,03F,14824.0,25266.0
2020-06-01,03F,16130.0,26889.0
2021-06-01,03F,15903.0,26767.0
2020-01-01,03F,18942.0,30676.0
2021-03-01,03F,16146.0,27254.0
2020-09-01,03F,16858.0,27922.0
2021-09-01,03F,15784.0,26867.0
2019-07-01,03F,16809.0,27381.0
2019-12-01,03F,18175.0,29313.0
2020-12-01,03F,16846.0,28083.0
2019-06-01,03F,17284.0,28319.0
2019-08-01,03F,19271.0,31346.0
2019-07-01,00Y,10561.0,22337.0
2020-06-01,00Y,9696.0,21913.0
2019-08-01,02A,8844.0,19021.0
2021-09-01,05V,5554.0,12255.0
2022-10-01,05V,5329.0,11848.0
2022-04-01,05V,5056.0,11366.0
2020-11-01,05V,5216.0,11655.0
2022-08-01,05V,5174.0,11712.0
2023-06-01,06H,28448.0,64157.0
2023-05-01,06H,26024.0,60030.0
2023-02-01,06H,25561.0,57749.0
2019-03-01,06L,13806.0,29141.0
2023-12-01,06L,12796.0,29962.0
2024-01-01,06L,12873.0,30116.0
2022-11-01,06T,12793.0,28138.0
2020-09-01,06T,12859.0,28121.0
2022-12-01,07G,5501.0,12000.0
2023-04-01,07H,8449.0,19431.0
2021-04-01,10Q,18047.0,41332.0
2023-10-01,10Q,19282.0,45411.0
2021-02-01,10Q,16971.0,39265.0
2021-06-01,10Q,19609.0,43706.0
2021-07-01,10Q,20340.0,45385.0
2023-09-01,10Q,18770.0,44608.0
2021-05-01,10Q,18028.0,41197.0
2019-06-01,11M,20771.0,44178.0
2019-12-01,14Y,17444.0,36524.0
2021-08-01,14Y,13677.0,30742.0
2021-10-01,14Y,15354.0,33535.0
2021-12-01,14Y,16937.0,37235.0
2022-06-01,14Y,15552.0,34114.0
2019-04-01,14Y,15508.0,32661.0
2019-01-01,15A,16500.0,34372.0
2021-03-01,15A,13622.0,31184.0
2020-05-01,15A,14417.0,32644.0
2020-07-01,15A,13765.0,31520.0
2020-10-01,15A,14855.0,33260.0
2019-02-01,15A,14464.0,30326.0
2019-10-01,15A,16226.0,34360.0
2020-08-01,15A,12667.0,28541.0
2020-12-01,15A,15119.0,34133.0
2019-09-01,15A,14751.0,31153.0
2020-01-01,15A,16246.0,34352.0
2023-11-01,26A,40037.0,94060.0
2022-05-01,92A,28005.0,62287.0
