"","name","is.nbreak","is.tfirst","is.tfirst.pknown","is.tfirst.pknown.offs","is.tfirst.offs","is.tfirst.big","is.slope.ma","is.slope.ma.prop","is.slope.ma.prop.lev","is.intlev.initlev","is.intlev.finallev","is.intlev.levd","is.intlev.levdprop"
"1","ratio_quantity.97R",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","ratio_quantity.99A",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","ratio_quantity.99C",1,22,22,22,22,22,-0.000314760228484311,-0.00337169380374503,0.525,0.0936685007534095,0.081078091614037,0.0125904091393724,0.13441454745302
"4","ratio_quantity.99E",3,19,19,19,19,23,-0.00123108420285829,-0.0777508605518466,0.503910166723119,0.0162252003593237,0.00400988616092279,0.0122153141984009,0.752860607442758
"5","ratio_quantity.99F",2,14,14,14,14,14,-0.00185006893371098,-0.144076676433017,0.582341203143681,0.0146909324205301,0.00833703225436067,0.00635390016616945,0.432504893786733
"6","ratio_quantity.99G",1,35,35,35,35,35,7.43439072272187e-05,0.0106552992323769,0.518518518518519,0.00690283295152481,0.00891011844665972,-0.0020072854951349,-0.290791550256406
"7","ratio_quantity.A3A8R",5,4,4,28,28,28,0.0195912787704136,0.298504594821192,2.12854985544819,0.0654286867560518,0.074632736508642,-0.00920404975259018,-0.140673001536881
"8","ratio_quantity.B2M3M",2,20,20,20,20,20,-0.000121494227596489,-0.0133831080026945,0.510900797416991,0.00919967155172985,0.0080106518025854,0.00118901974914444,0.129245891275419
"9","ratio_quantity.D2P2L",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","ratio_quantity.D4U1Y",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","ratio_quantity.D9Y0V",2,8,8,8,8,8,-0.000154679195734597,-0.0122886377926526,0.529960566487226,0.0127418510486702,0.0118662432835876,0.000875607765082605,0.068719039465933
"12","ratio_quantity.M1J4Y",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","ratio_quantity.M2L0M",2,20,20,20,20,20,-0.000233388198989643,-0.015674938163715,0.535154650891147,0.0151226462331872,0.00945316997653312,0.00566947625665407,0.374899747652114
"14","ratio_quantity.W2U3Z",5,2,2,28,28,28,0.0189483110171119,0.305550916613602,1.97417737387246,0.0617714244337367,0.0713695037491447,-0.00959807931540801,-0.15538057286835
"15","ratio_quantity.X2C4Y",4,27,27,28,28,28,0.0175475224318623,0.331791065874929,8.6428625201391,0.0638524951623596,0.0658827857508047,-0.00203029058844502,-0.0317965740145712
