"","name","is.nbreak","is.tfirst","is.tfirst.pknown","is.tfirst.pknown.offs","is.tfirst.offs","is.tfirst.big","is.slope.ma","is.slope.ma.prop","is.slope.ma.prop.lev","is.intlev.initlev","is.intlev.finallev","is.intlev.levd","is.intlev.levdprop"
"1","ratio_quantity.00L",15,2,2,4,4,4,-0.189731954366588,-0.794263802256082,0.89271401728918,0.257001063452673,0.0444672052494287,0.212533858203245,0.826976571022566
"2","ratio_quantity.00N",2,4,4,4,4,4,-0.189860296455207,-2.8533205844256,0.923304883830225,0.256400417285487,0.0507692116239369,0.20563120566155,0.801992476605807
"3","ratio_quantity.00P",3,4,4,4,4,4,-0.195639836195685,-2.44829781906139,0.870662391762623,0.275548348416918,0.0508460550289831,0.224702293387935,0.815473199817367
"4","ratio_quantity.00Q",2,4,4,4,4,4,-0.171019025242032,-2.53339669685091,0.952041683565323,0.238524846756134,0.0588908788382803,0.179633967917853,0.753103797616146
"5","ratio_quantity.00R",3,4,4,4,4,4,-0.186809756481266,-2.58502441680782,0.876273255266087,0.259075904246304,0.045889258004841,0.213186646241463,0.822873307580106
"6","ratio_quantity.00T",3,3,3,3,3,3,-0.0418567657753996,-0.246986698513895,0.502524102447934,0.211326482271265,0.0447403799470031,0.166586102324262,0.78828786876993
"7","ratio_quantity.00V",3,4,4,4,4,4,-0.076606378149327,-0.783852340200694,0.625256135316481,0.174337001916698,0.051817007593808,0.12251999432289,0.702776765551082
"8","ratio_quantity.00X",2,4,4,4,4,4,-0.13348825351144,-1.8738990098902,0.789063463459364,0.204723817865179,0.0355507922555409,0.169173025609638,0.826347551417037
"9","ratio_quantity.00Y",3,4,4,4,4,4,-0.120289672263114,-1.33227801114652,0.767500128262412,0.210578389225121,0.0538492007421888,0.156729188482932,0.744279548626327
"10","ratio_quantity.01A",2,4,4,4,4,4,-0.153107345735382,-2.35045329235393,0.903981778323833,0.218246842969147,0.0488768961331889,0.169369946835958,0.776047637307182
"11","ratio_quantity.01D",3,4,4,4,4,4,-0.143473742389864,-1.67973736334865,0.802734444947136,0.228888132472752,0.0501568679892502,0.178731264483502,0.780867328299683
"12","ratio_quantity.01E",3,4,4,4,4,4,-0.0944893574617499,-1.33084119445258,0.788708410605194,0.165489081437545,0.0456864316987822,0.119802649738762,0.723930840017236
"13","ratio_quantity.01F",3,4,4,4,4,4,-0.165066838282346,-1.44572276894419,0.707706899455603,0.27924283511118,0.0460010249644626,0.233241810146717,0.835265155698096
"14","ratio_quantity.01G",5,4,4,4,4,4,-0.0536852103092929,-0.317096973456057,0.51162949198275,0.270119557962894,0.0602598405285322,0.209859717434362,0.776914189468613
"15","ratio_quantity.01H",3,4,4,4,4,4,-0.110716397915357,-1.54764560616535,0.792374467150343,0.182254996593438,0.0425276296661153,0.139727366927322,0.766658635093648
"16","ratio_quantity.01J",3,4,4,4,4,4,-0.162618034676448,-1.50428011881705,0.701691649649508,0.270721593742515,0.0389701759257625,0.231751417816752,0.856050729507646
