"","name","is.nbreak","is.tfirst","is.tfirst.pknown","is.tfirst.pknown.offs","is.tfirst.offs","is.tfirst.big","is.slope.ma","is.slope.ma.prop","is.slope.ma.prop.lev","is.intlev.initlev","is.intlev.finallev","is.intlev.levd","is.intlev.levdprop"
"1","ratio_quantity.11M",2,17,17,17,17,17,0.00111959683520051,0.0859495247625069,0.567554612708996,0.0119066163788242,0.0237426245105163,-0.0118360081316921,-0.994069831017852
"2","ratio_quantity.11N",2,9,9,10,10,9,0.0102389333751284,0.200647145050851,5.82926147473148,0.0407906158992133,0.0425470876957713,-0.00175647179655799,-0.0430606833909528
"3","ratio_quantity.11X",2,30,30,40,40,30,0.000697804528683736,0.0320390338180382,1.41337208179534,0.0210820198145481,0.0215757358979996,-0.000493716083451536,-0.0234188226647447
"4","ratio_quantity.12F",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","ratio_quantity.13T",2,21,21,21,21,21,-0.00654000905690421,-0.208022688986907,0.632728893193539,0.0379789308819933,0.0173065414044237,0.0206723894775696,0.544312043480163
"6","ratio_quantity.14L",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","ratio_quantity.14Y",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","ratio_quantity.15A",2,20,20,20,20,20,0.00180245610308352,0.0828164878932229,0.578081757434395,0.0199620034741865,0.0324339839849229,-0.0124719805107365,-0.624786010425478
"9","ratio_quantity.15C",1,7,7,7,7,7,-0.000453839310752517,-0.0107504462124942,0.509090909090909,0.0426696973116106,0.0177085352202222,0.0249611620913884,0.584985684550342
"10","ratio_quantity.15E",2,28,28,28,28,28,0.00477768404377317,0.111609545585775,1.28092911915345,0.0380294434173936,0.0417593016682004,-0.00372985825080678,-0.0980781709022028
"11","ratio_quantity.15F",1,14,14,14,14,14,0.000323492141211173,0.0133773127821001,0.520833333333333,0.0238586546382251,0.0393862774163614,-0.0155276227781363,-0.650817198772757
"12","ratio_quantity.15M",2,27,27,27,27,27,-0.00241318745117526,-0.0901570509340062,0.511043891477307,0.0372931651689809,0.0136827914670343,0.0236103737019466,0.633101899368544
"13","ratio_quantity.15N",2,2,2,2,2,2,0.000300405751217052,0.0166811501513207,0.528198067727272,0.0177082896020388,0.0279455544696924,-0.0102372648676536,-0.578105796647633
"14","ratio_quantity.16C",1,61,61,61,61,61,-0.0144268018476269,-0.550874150151925,1,0.0406157269290602,0.0261889250814332,0.014426801847627,0.355202354812581
"15","ratio_quantity.18C",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
