"","name","is.nbreak","is.tfirst","is.tfirst.pknown","is.tfirst.pknown.offs","is.tfirst.offs","is.tfirst.big","is.slope.ma","is.slope.ma.prop","is.slope.ma.prop.lev","is.intlev.initlev","is.intlev.finallev","is.intlev.levd","is.intlev.levdprop"
"1","ratio_quantity.97R",5,9,9,9,9,57,-0.00781395598925735,-0.142478802643425,0.972721271999331,0.0552096666226146,0.047176578199251,0.0080330884233636,0.145501483975148
"2","ratio_quantity.99A",5,15,15,15,15,57,-0.0157514086903772,-0.253668293978326,1.72292144223424,0.0624807344024409,0.0533384669117356,0.00914226749070535,0.146321383353461
"3","ratio_quantity.99C",1,9,9,9,9,9,-0.000164267396731095,-0.00536143666168572,0.509433962264151,0.0308029575644233,0.0220967855376753,0.00870617202674803,0.282640782416408
"4","ratio_quantity.99E",1,2,2,2,2,2,-0.000252590259536115,-0.00562590586468758,0.516666666666667,0.0451502948445989,0.029994879272432,0.0151554155721669,0.335665926974115
"5","ratio_quantity.99F",4,5,5,5,5,33,-0.000289721177985235,-0.00710902654006499,0.515834992117392,0.0412052055595389,0.0294104556285273,0.0117947499310115,0.28624417160033
"6","ratio_quantity.99G",1,56,56,56,56,56,-0.00202014026593786,-0.0443370116834519,0.666666666666667,0.0475834335334416,0.0354625919378144,0.0121208415956271,0.254728183646282
"7","ratio_quantity.A3A8R",4,3,3,3,3,3,-0.000175313655466056,-0.00391413853184725,0.50234441750116,0.0449840626664186,0.0380042436674088,0.00697981899900983,0.155162041516103
"8","ratio_quantity.B2M3M",3,46,46,46,46,56,-0.00333356521915329,-0.0783794261570048,0.595755642443421,0.0427984551228131,0.0372029307472804,0.00559552437553267,0.130741269970515
"9","ratio_quantity.D2P2L",2,16,16,16,16,47,-0.000605081484561059,-0.00960126135253924,0.508474855047699,0.0631889019803398,0.0489089867738118,0.0142799152065279,0.225987709217845
"10","ratio_quantity.D4U1Y",1,28,28,28,28,28,-0.000374423104700055,-0.00727493745460017,0.529411764705882,0.0518419590164068,0.039111573456605,0.0127303855598019,0.245561429416141
"11","ratio_quantity.D9Y0V",2,16,16,16,16,47,-0.000587591487833398,-0.0106096760718917,0.502383022438147,0.0555510371833167,0.0415157343584309,0.0140353028248858,0.252655999537321
"12","ratio_quantity.M1J4Y",5,3,3,3,3,9,-0.000299627897204717,-0.00617981900727384,0.516848205070469,0.0487604511728553,0.0354268619911557,0.0133335891816996,0.273450898442925
"13","ratio_quantity.M2L0M",4,9,9,9,9,47,-0.000806303344261782,-0.0116242217516688,0.505020923789391,0.0700328620024306,0.0460842499861678,0.0239486120162628,0.341962492057395
"14","ratio_quantity.W2U3Z",1,24,24,24,24,24,-0.000105736099470008,-0.00210048382445403,0.526315789473684,0.0504446619407538,0.0464266901608935,0.00401797177986029,0.0796510795251104
"15","ratio_quantity.X2C4Y",4,7,7,7,7,47,-0.00044684686739371,-0.0107565768361671,0.509611741967949,0.0418520827191614,0.03045319058672,0.0113988921324414,0.272361406932387
