"","name","is.nbreak","is.tfirst","is.tfirst.pknown","is.tfirst.pknown.offs","is.tfirst.offs","is.tfirst.big","is.slope.ma","is.slope.ma.prop","is.slope.ma.prop.lev","is.intlev.initlev","is.intlev.finallev","is.intlev.levd","is.intlev.levdprop"
"1","ratio_quantity.02Y",3,2,2,2,2,2,-0.00282169458465885,-0.00581889069118051,0.506897168889843,0.488133960110002,0.321135912507646,0.166998047602356,0.342115200435394
"2","ratio_quantity.03F",6,2,2,2,2,2,-0.00357593145065306,-0.00732963878728383,0.512746000113431,0.491845950717808,0.28262356088764,0.209222389830169,0.42538195043555
"3","ratio_quantity.03H",3,2,2,2,2,2,-0.0031270799105223,-0.00590039546086566,0.504873105487382,0.533105101089381,0.35348508089123,0.179620020198151,0.33693172290249
"4","ratio_quantity.03K",6,2,2,2,2,2,-0.00342584810861797,-0.00687728160538501,0.511409734466697,0.502227778647016,0.328058135754019,0.174169642892997,0.346794124694186
"5","ratio_quantity.03L",5,2,2,2,2,33,-0.00287197502478286,-0.00623779584889829,0.504505586671109,0.463157600983406,0.298070676439598,0.165086924543808,0.356437904059622
"6","ratio_quantity.03N",3,2,2,2,2,2,-0.00363508358755771,-0.00699074673784369,0.500444547565469,0.524218610222764,0.320834756913221,0.203383853309543,0.387975263264912
"7","ratio_quantity.03Q",6,2,2,2,2,2,-0.00345000204114851,-0.00669406578496958,0.513193438100809,0.519028548187987,0.330795320753028,0.188233227434959,0.362664497149746
"8","ratio_quantity.03R",6,3,3,3,3,17,-0.00423408704413595,-0.00818059715646927,0.512178974465542,0.521345652692586,0.289874930257098,0.231470722435488,0.443987057799399
"9","ratio_quantity.03W",6,2,2,2,2,2,-0.00316150792367454,-0.0066895603127869,0.505587675278759,0.476287982499972,0.301200206054315,0.175087776445657,0.367609057710515
"10","ratio_quantity.04C",3,3,3,3,3,3,-0.00408642977093672,-0.00930894717673584,0.510079853941766,0.4437780090955,0.243494183957248,0.200283825138253,0.45131534468431
"11","ratio_quantity.04V",2,2,2,2,2,2,-0.00387820430183807,-0.00732785817859134,0.513553541491429,0.533694756452698,0.322247046178699,0.211447710273999,0.396195967296786
"12","ratio_quantity.04Y",6,2,2,2,2,2,-0.00398277071396663,-0.00711409954300516,0.513811013484121,0.566935689640414,0.349895616414128,0.217040073226285,0.382830146685501
"13","ratio_quantity.05D",2,2,2,2,2,2,-0.00377385802860003,-0.00710116370604139,0.509689454478986,0.535733698017084,0.328415253673721,0.207318444343363,0.386980406703392
"14","ratio_quantity.05G",2,2,2,2,2,2,-0.00402671257808936,-0.00780528374903605,0.513818902972395,0.520947958304382,0.325027150662078,0.195920807642303,0.376085181867303
"15","ratio_quantity.05Q",5,2,2,2,2,2,-0.0030281447062817,-0.00526687986065025,0.502122826927579,0.578325800513431,0.397405244193944,0.180920556319487,0.312835007808519
