"","name","is.nbreak","is.tfirst","is.tfirst.pknown","is.tfirst.pknown.offs","is.tfirst.offs","is.tfirst.big","is.slope.ma","is.slope.ma.prop","is.slope.ma.prop.lev","is.intlev.initlev","is.intlev.finallev","is.intlev.levd","is.intlev.levdprop"
"1","ratio_quantity.00L",1,16,16,16,16,16,-0.569119364834628,-0.00376102713233101,0.521739130434782,151.889315898992,125.709825116599,26.1794907823929,0.172359001207185
"2","ratio_quantity.00N",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","ratio_quantity.00P",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","ratio_quantity.00Q",1,32,32,32,32,32,-1.04554707242343,-0.00910568219062605,0.533333333333333,115.869132009286,84.5027198365835,31.3664121727029,0.270705507401135
"5","ratio_quantity.00R",1,23,23,23,23,23,-3.0277451805446,-0.0120232223704471,0.512820512820513,254.852512888971,136.770450847731,118.082062041239,0.463334893985068
"6","ratio_quantity.00T",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","ratio_quantity.00V",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","ratio_quantity.00X",1,21,21,21,21,21,-0.674452656032004,-0.00498617458166969,0.51219512195122,135.939001657474,108.286442760162,27.6525588973122,0.20341887582041
"9","ratio_quantity.00Y",1,28,28,28,28,28,-0.613660475397203,-0.00563123468725111,0.529411764705882,109.588070081608,88.7236139181028,20.8644561635049,0.190389849442258
"10","ratio_quantity.01A",1,23,23,23,23,23,-1.02024928098494,-0.00844481825510173,0.512820512820513,121.833895017953,82.0441730595402,39.7897219584127,0.326589919435387
"11","ratio_quantity.01D",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","ratio_quantity.01E",1,14,14,14,14,14,-0.779978497447378,-0.00579551149845839,0.520833333333333,135.363180973165,97.9242130956913,37.4389678774741,0.27658161996722
"13","ratio_quantity.01F",1,4,4,4,4,4,-1.01388284708908,-0.00624465881315332,0.517241379310345,163.373889602543,104.568684471377,58.8052051311667,0.35994249310112
"14","ratio_quantity.01G",1,18,18,18,18,18,-0.745395254514114,-0.00596162694218811,0.522727272727273,125.77758223006,92.9801910314388,32.797391198621,0.260757049206363
"15","ratio_quantity.01H",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","ratio_quantity.01J",1,23,23,23,23,23,-0.957892975909444,-0.00677082006922268,0.512820512820513,142.431594258214,105.073768197746,37.3578260604683,0.262286090772405
