"","name","is.nbreak","is.tfirst","is.tfirst.pknown","is.tfirst.pknown.offs","is.tfirst.offs","is.tfirst.big","is.slope.ma","is.slope.ma.prop","is.slope.ma.prop.lev","is.intlev.initlev","is.intlev.finallev","is.intlev.levd","is.intlev.levdprop"
"1","ratio_quantity.11M",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","ratio_quantity.11N",1,10,10,10,10,10,0.0104869094427824,0.010986143185382,0.519230769230769,0.944070960942175,1.48939025196686,-0.545319291024685,-0.577625320114138
"3","ratio_quantity.11X",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","ratio_quantity.12F",2,10,10,10,10,10,-0.58791936212406,-0.54413917998587,3.06723720907196,1.66837705337013,1.47669987875019,0.191677174619937,0.114888402614234
"5","ratio_quantity.13T",1,5,5,5,5,5,0.020643371771843,0.0114102309141019,0.508771929824561,1.78855505087619,2.96522724187124,-1.17667219099505,-0.657889837060712
"6","ratio_quantity.14L",1,26,26,26,26,26,-0.00598481135389017,-0.00662494833935453,0.527777777777778,0.909359607250529,0.693906398510483,0.215453208740046,0.236928501136612
"7","ratio_quantity.14Y",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","ratio_quantity.15A",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","ratio_quantity.15C",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","ratio_quantity.15E",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","ratio_quantity.15F",1,4,4,4,4,4,0.00553118529831091,0.00527258159002078,0.517241379310345,1.0435157007242,1.36432444802623,-0.320808747302033,-0.307430685594277
"12","ratio_quantity.15M",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","ratio_quantity.15N",1,12,12,12,12,12,0.0075357993708193,0.00533146652539205,0.52,1.40592133009416,1.78271129863513,-0.376789968540965,-0.268002170872341
"14","ratio_quantity.16C",2,2,2,2,2,2,-0.403907794632577,-0.930506398762983,0.971421940525668,0.837980892001422,0.42219061819516,0.415790273806262,0.49618109168718
"15","ratio_quantity.18C",1,35,35,35,35,35,0.00898785600139102,0.0275846013126528,0.518518518518518,0.31684088806925,0.559513000106807,-0.242672112037557,-0.765911601612852
