name,is.nbreak,is.tfirst,is.tfirst.pknown,is.tfirst.pknown.offs,is.tfirst.offs,is.tfirst.big,is.slope.ma,is.slope.ma.prop,is.slope.ma.prop.lev,is.intlev.initlev,is.intlev.finallev,is.intlev.levd,is.intlev.levdprop
00L,2,4.0,4.0,4.0,4.0,4.0,-0.00274423739835354,-0.0095444654860625,0.555742763508821,0.29026556610564097,0.26557574935456796,0.024689816751073,0.08505940639919801
00N,1,2.0,2.0,2.0,2.0,2.0,-0.00108744909966712,-0.00351512176799209,0.516666666666667,0.310450586834805,0.24520364085477803,0.065246945980027,0.210168538076386
00P,2,2.0,2.0,2.0,2.0,2.0,-0.0026199513963267697,-0.00759558945442214,0.508267612162831,0.347550573574891,0.25476652830943397,0.09278404526545697,0.266965593844614
00Q,4,7.0,7.0,7.0,7.0,7.0,-0.0119141943997825,-0.0370036380266669,0.5548891939617261,0.33388779037962896,0.24800257560570899,0.0858852147739197,0.257227779057955
00R,4,2.0,2.0,2.0,2.0,17.0,-0.0275373142633509,-0.0678983889566266,0.51231629781388,0.411763042245178,0.30426181934496505,0.10750122290021302,0.261075453285103
00T,2,3.0,3.0,3.0,3.0,3.0,-0.0127025683776918,-0.0250907308541251,0.545760468213316,0.5189679478735391,0.26294307928595895,0.256024868587579,0.49333464549523
00V,2,2.0,2.0,2.0,2.0,2.0,-0.00162374173176191,-0.00632764685627014,0.522253072429971,0.258234416860215,0.21159778174555105,0.0466366351146639,0.18059806156632002
00X,2,2.0,2.0,2.0,2.0,2.0,-0.0104856331527548,-0.0262136858058975,0.5554345960442441,0.4104916922165979,0.25946569236088,0.15102599985571802,0.36791487554887803
00Y,2,2.0,2.0,2.0,2.0,2.0,-0.00517951692609962,-0.0145674605691086,0.507461672343721,0.36073338312864,0.279079658981507,0.0816537241471328,0.226354776036945
01A,4,3.0,3.0,3.0,3.0,3.0,-0.0068948377903208,-0.0221305710303521,0.526948962948041,0.318447476032891,0.266109672753065,0.0523378032798265,0.16435301649060902
01D,0,,,,,,,,,,,,
01E,2,4.0,4.0,4.0,4.0,4.0,-0.0127221334702466,-0.031782616144902,0.5553267612384639,0.413008044870503,0.275552395063089,0.137455649807413,0.332815913671881
01F,2,2.0,2.0,2.0,2.0,2.0,-0.00268019701042136,-0.007814777423454409,0.5015750170808699,0.345645436478063,0.28686625866689697,0.0587791778111657,0.170056281981019
01G,4,3.0,3.0,3.0,3.0,3.0,-0.0103826054714184,-0.0288700273397266,0.5732761038265279,0.370015291275334,0.279460274224073,0.0905550170512611,0.244733175051076
01H,2,4.0,4.0,9.0,9.0,4.0,-0.00814697797090608,-0.03404576876714,3.2029902027153505,0.24744185266233298,0.24489829884065803,0.00254355382167559,0.0102794001673864
01J,2,2.0,2.0,2.0,2.0,2.0,-0.00348921262649248,-0.00953934142548253,0.511269639392986,0.3692600212036671,0.314663192326676,0.0545968288769912,0.14785469788747596
01K,2,5.0,5.0,5.0,5.0,5.0,-0.0087310973185257,-0.0371513380971876,0.700273131809163,0.243745440427385,0.206341046676183,0.0374043937512017,0.153456793635264
01T,2,3.0,3.0,3.0,3.0,3.0,-0.00741409309183575,-0.0239098128408935,0.584299702204426,0.317499878420747,0.25405561288489104,0.0634442655358552,0.19982453489881302
01V,2,2.0,2.0,2.0,2.0,2.0,-0.00553109791663808,-0.0162915818517263,0.545943782047255,0.34503759685443103,0.263987523956495,0.0810500728979355,0.23490214874215598
01W,4,2.0,2.0,2.0,2.0,2.0,-0.0120421501319326,-0.0275492028339182,0.555041641877662,0.449156436324871,0.297284856674802,0.151871579650069,0.338126245930541
01X,2,3.0,3.0,3.0,3.0,3.0,-0.0081936885540398,-0.0233388952236264,0.511318610888075,0.35926808498670293,0.263120340161119,0.0961477448255841,0.26762116882478604
01Y,1,7.0,7.0,7.0,7.0,7.0,-0.000462437971049884,-0.0023986152714032603,0.509090909090909,0.193256162151478,0.167822073743735,0.0254340884077436,0.131608162578577
02A,2,2.0,2.0,2.0,2.0,2.0,-0.0111193702937523,-0.0338514127673287,0.5765565377708111,0.339595182224534,0.243166041582542,0.0964291406419923,0.283953205726679
02E,2,2.0,2.0,2.0,2.0,2.0,-0.0062430120433694,-0.0179295117281416,0.544870994613748,0.354440561314639,0.25132054034498696,0.10312002096965199,0.29093741581712296
02G,2,5.0,5.0,5.0,5.0,5.0,-0.0123311198396561,-0.0241013293060412,0.507963696800129,0.523967622667955,0.305487287840852,0.21848033482710297,0.4169729681285229
02H,2,2.0,2.0,2.0,2.0,2.0,-0.0019806370269048103,-0.00676412043707819,0.52853770523845,0.29479579981551396,0.268564068283553,0.0262317315319608,0.0889827180318609
02M,2,2.0,2.0,2.0,2.0,2.0,-0.00472076716399619,-0.0122892074697595,0.513046213996289,0.388860035348114,0.32444991156887,0.0644101237792437,0.165638322080547
02P,2,15.0,15.0,20.0,20.0,15.0,-0.007448975091075491,-0.0279972246014021,10.928224614259902,0.273510172124957,0.27282854492987196,0.000681627195084855,0.00249214568434202
02Q,2,17.0,17.0,31.0,31.0,31.0,0.00144376152057884,0.00527473462588001,4.3608926264501395,0.276885889005285,0.27721695918844397,-0.000331070183159754,-0.0011956917860607699
02T,2,4.0,4.0,4.0,4.0,4.0,-0.0143376065869094,-0.0318393347535103,0.5663135347679611,0.464648729539274,0.31274411444526196,0.15190461509401199,0.326923556305931
02X,5,2.0,2.0,2.0,2.0,4.0,-0.00550009714195291,-0.0137329346807555,0.520973608879865,0.40574959963514096,0.268504139161392,0.137245460473749,0.33825162266866804
02Y,5,2.0,2.0,2.0,2.0,2.0,-0.0351745372896978,-0.0695956915187566,0.590162158541273,0.54058710697755,0.30218119239542796,0.23840591458212196,0.441012949633707
03F,4,3.0,3.0,3.0,3.0,3.0,-0.0127361360209564,-0.0267374122956378,0.53570954573372,0.489077521646906,0.29888287423195,0.19019464741495698,0.388884459000488
03H,2,4.0,4.0,4.0,4.0,4.0,-0.0169165526361535,-0.0280819588334136,0.5103300191265571,0.61931586304413,0.320981514643541,0.29833434840059003,0.48171598081499706
03K,5,3.0,3.0,3.0,3.0,3.0,-0.00930158795021073,-0.0166425398188524,0.511213808514565,0.5682059409789489,0.331669600726132,0.23653634025281697,0.41628628494326203
03L,0,,,,,,,,,,,,
03N,3,8.0,8.0,8.0,8.0,8.0,-0.0878727728591894,-0.305842588091789,0.5748869149340501,0.375186496586956,0.22233422151078697,0.152852275076169,0.407403455259331
03Q,2,4.0,4.0,4.0,4.0,4.0,-0.0057235711350888,-0.0149706828202756,0.514577596940776,0.38804221376487397,0.265690827190182,0.12235138657469198,0.31530432059855296
03R,2,2.0,2.0,2.0,2.0,2.0,-0.00232905229002636,-0.00688310723349695,0.500811149728532,0.34070127445909604,0.289545114688737,0.051156159770359005,0.15014959909256398
03W,2,6.0,6.0,6.0,6.0,6.0,-0.0037431897043463296,-0.0123893941104932,0.567297219727911,0.305871741832333,0.26628202158507003,0.0395897202472628,0.129432421609461
04C,4,4.0,4.0,4.0,4.0,4.0,-0.00637210881578718,-0.0185524242486092,0.540575817853294,0.34983713152110196,0.24374844340733104,0.10608868811377099,0.30325165214022304
04V,2,3.0,3.0,3.0,3.0,3.0,-0.00571563385686912,-0.0163493286332358,0.51037274007373,0.35531004137584604,0.25451957849886997,0.100790462876976,0.28366905277062104
04Y,2,2.0,2.0,2.0,2.0,2.0,-0.00547021455740976,-0.0131583588332151,0.541162594874278,0.42119185786762997,0.310000950178442,0.11119090768918802,0.263991113817144
05D,2,3.0,3.0,3.0,3.0,3.0,-0.0129663818576135,-0.0265038891106007,0.540541445962187,0.50219201223604,0.28630211592883803,0.21588989630720198,0.429895121879656
05G,4,14.0,14.0,14.0,14.0,14.0,-0.0106901473773049,-0.0223670581659242,0.535864090343339,0.507361071199911,0.367715528627375,0.139645542572536,0.275238977721081
05Q,2,3.0,3.0,3.0,3.0,3.0,-0.0152393105566133,-0.0330150417042781,0.5672047626737441,0.47682620458857106,0.288754487077884,0.18807171751068802,0.39442403899123996
05V,4,2.0,2.0,2.0,2.0,2.0,-0.0116443284155917,-0.0261825074455127,0.534255101816112,0.4563812750133979,0.30381315047502505,0.152568124538373,0.334299702663949
05W,2,4.0,4.0,4.0,4.0,4.0,-0.00549289839093395,-0.0101828797053565,0.5279260842354221,0.544917751661519,0.36803830691668304,0.17687944474483702,0.324598426469885
06H,2,2.0,2.0,2.0,2.0,2.0,-0.0109863500190646,-0.0248068138918109,0.552310099619888,0.453862652755039,0.29472958563748103,0.159133067117559,0.350619435530966
06K,2,2.0,2.0,2.0,2.0,2.0,-0.00394763408376177,-0.0142043229680616,0.638111319120902,0.281865426620442,0.263306122159897,0.0185593044605458,0.0658445581037421
06L,2,2.0,2.0,2.0,2.0,2.0,-0.00503504387431438,-0.0133170409531759,0.507282085155803,0.38312533375313296,0.303721088712341,0.0794042450407915,0.20725396637946103
06N,0,,,,,,,,,,,,
06Q,2,4.0,4.0,4.0,4.0,4.0,-0.0121138555346368,-0.0243380258842559,0.568810522911868,0.5098475498057571,0.33947298679488597,0.170374563010871,0.33416766065813397
06T,2,3.0,3.0,3.0,3.0,3.0,-0.00612974932302621,-0.0148980110772316,0.540469966142825,0.41757724330389795,0.32684510709625797,0.0907321362076406,0.21728228169179503
07G,5,3.0,3.0,3.0,3.0,3.0,-0.0122039313205083,-0.0221586387504644,0.529434525464978,0.562956685491948,0.30939701367475503,0.25355967181719297,0.450407071008698
07H,2,6.0,6.0,6.0,6.0,6.0,-0.0174716482998073,-0.0566280739099889,0.735174510145195,0.32600497979857396,0.27847436479845195,0.047530615000122005,0.14579720539695198
07K,3,2.0,2.0,2.0,2.0,2.0,-0.019525261258372,-0.0437149535275949,0.5250799093039361,0.46617474119083396,0.280248171611592,0.185926569579241,0.39883449949325
09D,2,2.0,2.0,2.0,2.0,2.0,-0.00580096796788067,-0.0214966048998372,0.5070782604127,0.275656044846769,0.195576146051432,0.0800798987953373,0.290506594331541
10Q,2,6.0,6.0,6.0,6.0,6.0,-0.0192829659770937,-0.0668941697003288,0.563984858671558,0.307543752581922,0.239162604823758,0.0683811477581646,0.22234607981493398
10R,2,2.0,2.0,2.0,2.0,2.0,-0.009380405179523271,-0.0208988826557588,0.500984876006228,0.458227615532104,0.308436184632195,0.14979143089990898,0.326893067599096
11J,2,5.0,5.0,5.0,5.0,5.0,-0.0073741581661986,-0.0284790415578372,0.715381731918994,0.26630696498916195,0.24569095583718803,0.0206160091519743,0.0774144572328902
11M,2,2.0,2.0,2.0,2.0,2.0,-0.00729214762518713,-0.0180063669655706,0.538848095362049,0.41226821187680496,0.290472609012906,0.12179560286389801,0.295428071714376
11N,5,4.0,4.0,4.0,4.0,5.0,-0.0036283028481859,-0.00974235832799822,0.553558017418606,0.378458934417307,0.293250274182606,0.08520866023470099,0.225146383096735
11X,2,2.0,2.0,2.0,2.0,2.0,-0.00672721010118691,-0.0205167770991536,0.5083249646564171,0.33461545827367606,0.18904064637539897,0.14557481189827698,0.4350510662278301
12F,2,3.0,3.0,3.0,3.0,3.0,-0.007352433430911329,-0.0173194870288949,0.5250584508276049,0.43187040088831397,0.319845792286018,0.11202460860229699,0.25939404129542804
13T,2,5.0,5.0,5.0,5.0,5.0,-0.0161717703101576,-0.0518257375036599,0.8896603079687341,0.32821306656793897,0.291858133869905,0.0363549326980336,0.11076625643881301
14L,4,7.0,7.0,7.0,7.0,7.0,-0.00976970992678949,-0.0228408271638019,0.507192328128063,0.437499837943892,0.264138798226224,0.173361039717668,0.396253951846951
14Y,2,4.0,4.0,15.0,15.0,15.0,0.000732305714990344,0.00306345588321615,1.2365751403309,0.242120727121959,0.242712931906858,-0.0005922047848983809,-0.00244590701480952
15A,2,4.0,4.0,4.0,4.0,4.0,-0.00384597498992121,-0.0146937306788403,0.518885919904662,0.26558855582132196,0.19146869936756,0.0741198564537625,0.27907774950825603
15C,2,2.0,2.0,2.0,2.0,2.0,-0.011549473634511998,-0.0272484851900598,0.508308722724914,0.43540693044188,0.299078674189284,0.13632825625259598,0.313105388823832
15E,4,3.0,3.0,3.0,3.0,3.0,-0.004323531327986471,-0.0140220824763373,0.543498105904054,0.312660851072224,0.249020793732267,0.0636400573399566,0.203543414922951
15F,2,18.0,18.0,18.0,18.0,18.0,-0.0129175634037824,-0.0581652466514558,0.891367337074584,0.235001439041558,0.206017735316947,0.0289837037246107,0.12333415421973301
15M,2,5.0,5.0,5.0,5.0,5.0,-0.00328243417502667,-0.0122229711270437,0.6034881788697111,0.27182877539677697,0.25551146733695196,0.0163173080598253,0.0600278908515391
15N,7,2.0,2.0,2.0,2.0,2.0,-0.00439839756932123,-0.0108760986018959,0.507220463438085,0.410888255545442,0.22878529319715601,0.18210296234828602,0.44319339842544303
16C,4,2.0,2.0,2.0,2.0,2.0,-0.00487879252077841,-0.0146090825551871,0.513215739569134,0.33883491210244,0.272290679312307,0.0665442327901333,0.19639131156005302
18C,2,4.0,4.0,4.0,4.0,4.0,-0.010662023137347999,-0.0325266806464883,0.63483548966145,0.33845517403481395,0.27127541921024395,0.0671797548245702,0.198489371646184
26A,2,2.0,2.0,2.0,2.0,2.0,-0.0110537124215754,-0.0235052454701459,0.524282656002612,0.48131948503878996,0.31265149963024197,0.168667985408548,0.35042833430056297
