month,code,numerator,denominator
2018-01-01,00L,12,324.86
2018-02-01,00L,11,324.98100000000005
2018-03-01,00Q,9,174.843
2018-01-01,00Q,13,174.62900000000002
2018-01-01,00X,10,183.128
2018-02-01,00X,9,183.344
2018-04-01,01A,12,381.783
2018-02-01,01A,20,381.3829999999999
2018-03-01,01A,10,381.48300000000006
2018-01-01,01A,26,381.248
2018-02-01,01E,10,209.18099999999998
2018-01-01,01E,16,209.068
2018-01-01,01H,13,323.89599999999996
2018-01-01,02H,13,327.127
2018-02-01,02H,13,327.39099999999996
2018-02-01,02Y,18,303.87299999999993
2018-03-01,02Y,11,303.91700000000003
2018-01-01,02Y,14,303.763
2018-02-01,03F,20,298.65699999999987
2018-04-01,03F,11,299.1480000000001
2018-01-01,03F,22,298.444
2018-03-01,03F,14,298.99099999999993
2018-01-01,03N,14,600.9780000000001
2018-03-01,03N,9,600.8309999999999
2018-01-01,03W,10,329.976
2018-02-01,03W,14,330.36599999999993
2018-03-01,03W,9,330.59999999999997
2018-03-01,04C,12,408.463
2018-02-01,04C,14,407.78300000000013
2018-01-01,04C,17,407.33999999999986
2018-01-01,04V,17,391.80099999999993
2018-02-01,04V,11,392.1580000000001
2018-02-01,05Q,9,212.22999999999996
2018-01-01,05Q,15,212.11899999999997
2018-02-01,05W,23,290.77500000000003
2018-03-01,05W,17,290.681
2018-04-01,05W,10,290.81500000000005
2018-01-01,05W,18,290.74100000000004
2018-03-01,06H,22,955.2340000000002
2018-05-01,06H,10,957.3340000000004
2018-01-01,06H,57,952.9550000000005
2018-02-01,06H,43,954.3220000000002
2018-04-01,06H,14,956.2979999999999
2018-02-01,06L,19,407.10400000000004
2018-01-01,06L,21,406.72999999999996
2018-03-01,06L,12,407.2150000000001
2018-01-01,06Q,12,390.61799999999994
2018-01-01,07G,10,175.777
2018-01-01,07K,12,250.344
2018-02-01,09D,12,317.414
2018-01-01,09D,15,317.1709999999999
2018-04-01,11J,12,800.823
2018-02-01,11J,21,800.7579999999999
2018-01-01,11J,31,800.734
2018-02-01,11M,14,645.8589999999999
2018-01-01,11M,12,645.1760000000002
2018-03-01,11M,14,646.0730000000001
2018-10-01,11N,10,577.8830000000002
2019-03-01,11N,12,579.6440000000002
2019-07-01,11N,11,581.2109999999998
2018-09-01,11N,11,576.628
2018-01-01,11N,28,574.293
2019-12-01,11N,9,584.2120000000001
2018-08-01,11N,10,576.2800000000001
2018-07-01,11N,11,575.751
2019-09-01,11N,9,582.2810000000001
2019-08-01,11N,10,581.6610000000003
2018-04-01,11N,15,574.605
2019-01-01,11N,11,579.1129999999997
2018-03-01,11N,14,574.5039999999999
2019-04-01,11N,12,580.1800000000002
2018-02-01,11N,21,574.295
2019-10-01,11N,11,583.471
2018-02-01,11X,9,574.0819999999999
2018-03-01,12F,17,336.10699999999997
2018-02-01,12F,34,336.07899999999984
2018-01-01,12F,39,336.09399999999994
2018-04-01,12F,13,336.21000000000004
2018-06-01,12F,9,336.39900000000006
2018-01-01,13T,23,525.7540000000001
2018-02-01,13T,20,525.76
2018-02-01,14L,15,639.7710000000003
2018-03-01,14L,9,640.4739999999999
2018-01-01,14L,15,639.111
2018-04-01,14L,12,641.0980000000001
2018-04-01,15A,9,543.5120000000002
2018-03-01,15A,12,543.4310000000002
2018-01-01,15A,26,542.9739999999999
2018-02-01,15A,18,543.6060000000001
2018-01-01,15C,19,1004.8130000000003
2018-02-01,15C,13,1006.1510000000001
2018-04-01,15E,13,1507.1580000000001
2018-01-01,15E,53,1505.7340000000002
2018-03-01,15E,18,1506.730999999999
2018-02-01,15E,34,1506.4240000000002
2019-08-01,15F,11,887.3160000000001
2019-09-01,15F,14,887.1339999999999
2019-06-01,15F,10,888.3770000000002
2018-06-01,15F,10,879.656
2019-05-01,15F,11,889.0840000000002
2020-01-01,15F,11,895.4139999999999
2018-05-01,15F,15,879.7999999999998
2019-11-01,15F,14,895.9300000000001
2018-10-01,15F,12,885.8969999999998
2020-03-01,15F,15,896.861
2018-01-01,15F,72,878.7760000000001
2018-03-01,15F,22,879.9979999999996
2019-01-01,15F,16,888.4689999999998
2019-03-01,15F,14,889.8139999999999
2018-12-01,15F,12,888.8460000000003
2019-04-01,15F,11,889.3679999999996
2019-07-01,15F,11,887.9570000000002
2019-12-01,15F,17,896.7729999999999
2019-02-01,15F,10,889.2060000000002
2018-04-01,15F,18,880.0210000000002
2020-02-01,15F,15,896.2719999999997
2018-02-01,15F,49,879.4710000000006
2018-01-01,15M,21,1080.7260000000003
2018-04-01,15M,9,1081.3670000000002
2018-02-01,15M,15,1081.0130000000001
2018-10-01,15N,10,1230.552
2018-01-01,15N,30,1223.6459999999993
2018-02-01,15N,20,1224.3500000000006
2018-03-01,15N,19,1224.2379999999998
2018-11-01,15N,9,1232.7300000000002
2018-04-01,15N,13,1224.4100000000003
2018-02-01,16C,14,701.2400000000002
2018-03-01,16C,14,701.3089999999997
2018-01-01,16C,29,700.9630000000001
2018-01-01,18C,18,791.5310000000001
2018-02-01,18C,15,792.0419999999999
2018-02-01,26A,11,1052.334
2018-01-01,26A,13,1051.9080000000004
2018-03-01,27D,9,764.3779999999999
2018-02-01,27D,14,764.0840000000001
2018-01-01,27D,11,763.2649999999999
2018-01-01,36J,35,631.1059999999999
2018-02-01,36J,21,631.629
2018-03-01,36J,13,631.8879999999996
2018-01-01,36L,21,1659.5400000000006
2018-02-01,36L,13,1662.2060000000006
2018-02-01,42D,23,427.19100000000003
2018-03-01,42D,11,427.1569999999999
2018-01-01,42D,23,427.12100000000004
2018-01-01,70F,15,886.5880000000001
2018-03-01,70F,10,888.5280000000002
2018-02-01,70F,20,887.3810000000004
2018-01-01,71E,45,787.998
2018-02-01,71E,25,788.6689999999999
2018-03-01,71E,22,788.9129999999996
2018-04-01,71E,11,784.9050000000002
2018-02-01,72Q,133,1957.0059999999994
2018-12-01,72Q,12,1982.9700000000012
2019-09-01,72Q,13,2007.7319999999993
2019-08-01,72Q,11,2004.8150000000005
2018-10-01,72Q,9,1975.675
2019-06-01,72Q,9,1997.94
2018-07-01,72Q,17,1967.0009999999993
2019-07-01,72Q,11,2001.0510000000006
2018-06-01,72Q,16,1964.1589999999997
2018-09-01,72Q,11,1974.945000000001
2019-12-01,72Q,13,2017.093
2018-11-01,72Q,13,1979.2379999999985
2018-01-01,72Q,136,1953.9860000000006
2020-01-01,72Q,13,2018.389000000001
2020-03-01,72Q,10,2023.9550000000004
2018-03-01,72Q,65,1957.946000000001
2019-02-01,72Q,9,1986.9569999999999
2020-02-01,72Q,11,2021.3380000000004
2018-05-01,72Q,22,1961.3799999999997
2019-03-01,72Q,12,1989.7050000000008
2018-04-01,72Q,45,1959.3230000000008
2018-03-01,78H,16,774.16
2018-01-01,78H,34,771.694
2018-05-01,78H,9,776.329
2018-02-01,78H,19,773.2900000000003
2018-02-01,84H,19,551.7049999999997
2018-03-01,84H,12,551.4769999999999
2018-01-01,84H,31,551.7749999999997
2018-05-01,91Q,13,1875.4310000000012
2018-12-01,91Q,10,1889.0499999999997
2018-04-01,91Q,28,1873.5550000000003
2018-03-01,91Q,34,1872.1249999999993
2018-11-01,91Q,10,1886.7679999999998
2018-02-01,91Q,49,1871.0819999999987
2019-07-01,91Q,13,1899.7220000000018
2019-12-01,91Q,9,1921.1960000000006
2018-10-01,91Q,11,1885.4020000000007
2018-01-01,91Q,54,1868.700999999999
2018-06-01,91Q,11,1877.0770000000002
2018-07-01,91Q,11,1878.8889999999988
2018-01-01,92G,14,932.1669999999998
2018-02-01,92G,21,933.5139999999998
2018-03-01,93C,18,1616.2320000000002
2018-01-01,93C,24,1612.7229999999997
2018-02-01,93C,28,1615.314
2018-04-01,97R,9,554.9009999999998
2018-03-01,97R,9,554.904
2018-01-01,97R,31,554.6690000000002
2018-05-01,97R,9,555.3500000000001
2018-02-01,97R,22,554.7289999999998
2018-01-01,99E,12,278.15799999999996
2018-02-01,99E,13,278.44800000000004
2018-01-01,99F,9,184.84099999999995
2018-06-01,A3A8R,10,2181.8310000000006
2018-02-01,A3A8R,32,2171.2199999999984
