"","name","is.nbreak","is.tfirst","is.tfirst.pknown","is.tfirst.pknown.offs","is.tfirst.offs","is.tfirst.big","is.slope.ma","is.slope.ma.prop","is.slope.ma.prop.lev","is.intlev.initlev","is.intlev.finallev","is.intlev.levd","is.intlev.levdprop"
"1","ratio_quantity.02X",5,19,19,19,19,28,-0.00307337940634295,-0.974966597063086,17.8965355332868,0.000171730411208834,1.11022302462516e-16,0.000171730411208723,0.999999999999354
"2","ratio_quantity.02Y",2,3,3,3,3,3,-0.0227225396519048,-0.728512534080911,0.808510997288506,0.053912860461651,0.000159281769275155,0.0537535786923758,0.997045570056732
"3","ratio_quantity.03F",3,3,3,3,3,3,-0.0172763087136356,-0.33360231414046,0.741232412778744,0.0690634456168935,2.03009000802334e-05,0.0690431447168132,0.99970605434034
"4","ratio_quantity.03K",2,3,3,3,3,3,-0.00993011041623754,-6.41160271346361,0.847720424335545,0.0114788823629749,1.10241994721871e-05,0.0114678581635027,0.999039610379862
"5","ratio_quantity.03L",2,4,4,4,4,4,-0.0213380944116669,-14.2871641585248,0.916571489281763,0.0228316094420052,2.83134470013824e-05,0.0228032959950038,0.998759901395769
"6","ratio_quantity.03N",2,2,2,2,2,2,-0.00413905441242705,-0.241485090311621,0.546540461455281,0.0212790542653615,0.000100323772661559,0.0211787304926999,0.995285327467543
"7","ratio_quantity.03Q",17,2,2,3,3,3,-0.0056071784758589,-0.666900986383292,0.999370223341535,0.0056107119712959,9.84658703554337e-17,0.0056107119712958,0.999999999999982
"8","ratio_quantity.03R",2,2,2,2,2,2,-0.00346880343283876,-0.876961731957947,0.926840431968462,0.00742428211158811,5.15114379723292e-06,0.00741913096779088,0.999306176177062
"9","ratio_quantity.03W",15,2,2,3,3,3,-0.0136322353546067,-0.321687647511439,0.893624588655524,0.0303052343200722,4.90086594209793e-07,0.030304744233478,0.999983828318599
"10","ratio_quantity.04C",3,2,2,2,2,2,-0.00669859822023389,-0.196371925153788,0.646557697550558,0.0408103899897951,3.77473444920229e-05,0.0407726426453031,0.999075055531166
"11","ratio_quantity.04V",15,2,2,2,2,2,-0.0127776711394376,-0.455533268972679,0.587620167523204,0.0433893736871523,6.67905872496922e-06,0.0433826946284273,0.999846066947794
"12","ratio_quantity.04Y",15,2,2,2,2,3,-0.0225686616189608,-0.600150363503759,0.596047021061966,0.0376259528772565,3.44843166005804e-06,0.0376225044455965,0.999908349652398
"13","ratio_quantity.05D",15,2,2,2,2,2,-0.00707575737015102,-0.250625094990093,0.50074427332821,0.0282609617205277,4.28076732141578e-17,0.0282609617205277,0.999999999999999
"14","ratio_quantity.05G",2,26,26,26,26,26,-0.00316975863353304,-0.253209169414267,0.60911687996403,0.0156880992641881,7.6520906417632e-05,0.0156115783577705,0.995122359622475
"15","ratio_quantity.05Q",2,2,2,2,2,2,-0.0183651897277659,-0.369868099405081,0.510254641081839,0.0680185384683187,0.000182264561631729,0.067836273906687,0.997320369332596
