name,is.nbreak,is.tfirst,is.tfirst.pknown,is.tfirst.pknown.offs,is.tfirst.offs,is.tfirst.big,is.slope.ma,is.slope.ma.prop,is.slope.ma.prop.lev,is.intlev.initlev,is.intlev.finallev,is.intlev.levd,is.intlev.levdprop
01D,0,,,,,,,,,,,,
01E,6,26.0,26.0,26.0,26.0,26.0,0.200000000000001,75059993789508.7,41175768021673.3,1.77635683940025e-15,3.5527136788005e-15,-1.77635683940025e-15,-1.0
01W,3,12.0,12.0,13.0,13.0,12.0,0.0147058823529412,1.0,156988222304854.0,0.0,2.2204460492503099e-16,-2.2204460492503099e-16,-inf
02H,5,2.0,2.0,2.0,2.0,13.0,-0.0114942528735632,-1.00000000000001,1.03448275862076,0.0111111111111105,2.2204460492503099e-16,0.0111111111111103,0.99999999999998
02Q,3,29.0,29.0,30.0,30.0,30.0,-0.125,-0.9999999999999949,55258891133380.3,6.82317562092805e-16,0.0,6.82317562092805e-16,1.0
06H,3,22.0,22.0,23.0,23.0,23.0,-0.0232558139534884,-1.0,72859043516610.7,0.0,0.0232558139534883,-0.0232558139534883,-inf
06L,3,24.0,24.0,25.0,25.0,25.0,-0.0416666666666667,-1.0,130539119633927.0,5.68597968410671e-17,0.0,5.68597968410671e-17,1.0
06T,6,4.0,4.0,5.0,5.0,25.0,-0.0250000000000001,-1.14999999999999,48038396025285.4,3.41158781046403e-16,2.2204460492503099e-16,1.1911417612137102e-16,0.349145860341112
07K,12,2.0,2.0,3.0,3.0,5.0,-0.250000000000003,-12492648064828.2,1.4526159639414498,0.16666666666665197,0.000313563760145463,0.16635310290650698,0.9981186174391271
10Q,3,14.0,14.0,15.0,15.0,14.0,0.0208333333333333,1.0,250199979298360.0,0.0,0.0,0.0,
11J,0,,,,,,,,,,,,
11M,8,2.0,2.0,2.0,2.0,7.0,-0.0454545454545451,-14557089704631.8,1.3636363636363402,0.0333333333333329,0.0,0.0333333333333329,1.0
11X,0,,,,,,,,,,,,
12F,6,8.0,8.0,9.0,9.0,54.0,0.12554977779814,1.39682698609189,1130851865016302.0,4.54878374728537e-16,8.88178419700125e-16,-4.33300044971588e-16,-0.952562418976664
14L,15,2.0,2.0,3.0,3.0,3.0,-0.0333333333333311,-1.00000000000001,27588505532284.2,1.2509155305034803e-15,2.7669063874786697e-16,9.74224891755609e-16,0.7788094943257259
14Y,3,29.0,29.0,30.0,30.0,30.0,-0.0821805006587616,-0.9039855072463729,27.0775193798276,4.54878374728537e-16,7.589418520304041e-07,-7.58941851575525e-07,-1668450059.92744
15A,1,19.0,19.0,19.0,19.0,19.0,-0.00090113512019102,-0.0277830621867857,0.511627906976744,0.0333358291122601,0.0008949647853833609,0.0324408643268767,0.973153066558821
15C,3,36.0,36.0,37.0,37.0,37.0,-0.0149253731343284,-0.999999999999999,159331330100449.0,2.84298984205336e-17,0.0,2.84298984205336e-17,1.0
15E,3,4.0,4.0,5.0,5.0,5.0,-0.0372516171064266,-0.9685420447670842,142.396634614817,9.09756749457074e-16,1.16787775561455e-06,-1.1678777547048e-06,-1283725298.4402301
15F,6,35.0,35.0,36.0,36.0,36.0,-0.0158730158730159,-1.0,43161182412655.3,9.95046444718675e-17,0.0147058823529411,-0.014705882352941001,-147790913991946.0
15M,15,2.0,2.0,3.0,3.0,5.0,0.0277777777777779,0.666666666666672,44033659810321.7,0.0277777777777777,3.93508857501125e-16,0.0277777777777773,0.999999999999986
15N,0,,,,,,,,,,,,
36L,0,,,,,,,,,,,,
72Q,5,52.0,52.0,55.0,55.0,54.0,0.0465116279069768,1.02325581395349,6.21170028504691,0.0009538134164255721,0.00844155844155847,-0.0074877450251329,-7.85032470311995
91Q,2,11.0,11.0,12.0,12.0,12.0,-0.000725620737679331,-0.0314564032820958,0.609015614183536,0.0237931256641671,0.000573262058428448,0.0232198636057387,0.975906399750925
92A,4,35.0,35.0,35.0,35.0,41.0,-0.0495427540464354,-1.5464826078573897,58.95587731523371,0.000840336134453875,0.0495427540464353,-0.0487024179119815,-57.955877315251506
93C,3,35.0,35.0,36.0,36.0,36.0,-0.0519820519820521,-0.9616679616679609,30.7066978668294,0.0007863562091505599,4.6620046619483296e-05,0.000739736162531076,0.9407138316236571
97R,7,6.0,6.0,6.0,6.0,6.0,0.133333333333333,0.999999999999997,9607679205057014.0,4.54878374728537e-16,0.0,4.54878374728537e-16,1.0
99E,3,34.0,34.0,36.0,36.0,36.0,-0.9223866406854481,-248.786365872506,29.5518545974226,0.0039626878551990395,0.000135544655005759,0.00382714320019328,0.965794768611935
A3A8R,0,,,,,,,,,,,,
B2M3M,0,,,,,,,,,,,,
D2P2L,0,,,,,,,,,,,,
D4U1Y,15,2.0,2.0,2.0,2.0,9.0,-0.022222222222222,-72791382619693.0,18596045030865.2,1.0542183171073698e-15,1.0549083069865502e-16,9.48727486408714e-16,0.89993454962146
D9Y0V,0,,,,,,,,,,,,
M2L0M,1,61.0,61.0,61.0,61.0,61.0,0.0762820512820513,0.991666666666667,1.0,0.000641025641025641,0.0769230769230769,-0.0762820512820513,-119.0
W2U3Z,15,32.0,32.0,32.0,32.0,43.0,-0.0256410256410258,-406351750676484.0,10.0410285728166,0.00160178835802316,0.000190367409099501,0.00141142094892366,0.881153207197459
