name,is.nbreak,is.tfirst,is.tfirst.pknown,is.tfirst.pknown.offs,is.tfirst.offs,is.tfirst.big,is.slope.ma,is.slope.ma.prop,is.slope.ma.prop.lev,is.intlev.initlev,is.intlev.finallev,is.intlev.levd,is.intlev.levdprop
A81001,0,,,,,,,,,,,,
A81002,2,39.0,39.0,44.0,44.0,44.0,-0.0203232041010724,-0.03630460022166201,1.44565087453576,0.48944503870607897,0.475386869850062,0.0140581688560169,0.0287226710749419
A81004,0,,,,,,,,,,,,
A81005,2,47.0,47.0,47.0,47.0,47.0,0.416734874307604,0.8435568035863,0.8392849372978809,0.0772862426295083,0.57382187169644,-0.496535629066932,-6.424631501976419
A81006,0,,,,,,,,,,,,
A81007,2,14.0,14.0,14.0,14.0,14.0,-0.329584459461235,-1.18315210456052,3.46889508493155,0.6081492003688791,0.513137834676989,0.0950113656918897,0.156230355370458
A81009,5,11.0,11.0,11.0,11.0,18.0,-0.113783034949227,-0.521883669014299,7.62094276240968,0.154684132911797,0.139753823303585,0.0149303096082117,0.0965212742067421
A81011,2,32.0,32.0,41.0,41.0,41.0,-0.0197274166199002,-0.0426362792390632,0.56427412380987,0.43219830666445896,0.292355519001581,0.139842787662879,0.323561627860442
A81012,4,7.0,7.0,23.0,23.0,23.0,0.0418179670737226,0.28158984049224606,0.555813582293043,0.15008302509840102,0.751982200015285,-0.601899174916884,-4.01044138417553
A81013,0,,,,,,,,,,,,
A81014,0,,,,,,,,,,,,
A81016,0,,,,,,,,,,,,
A81017,2,13.0,13.0,31.0,31.0,13.0,0.0202118999556509,0.0628251837149792,9.99184903634929,0.301504627724505,0.30352746652862606,-0.00202283880412141,-0.00670914678619708
A81018,0,,,,,,,,,,,,
A81019,0,,,,,,,,,,,,
A81020,0,,,,,,,,,,,,
A81021,1,48.0,48.0,48.0,48.0,48.0,0.0194812737615161,0.0545273188067098,0.5714285714285711,0.337794201868855,0.6105320345300811,-0.27273783266122603,-0.8074082715224141
A81022,2,8.0,8.0,8.0,8.0,8.0,-0.137139565411489,-0.199999263013161,0.6712494686772379,0.8228399192296171,0.414230089916124,0.40860982931349205,0.49658483960774896
A81023,0,,,,,,,,,,,,
A81025,0,,,,,,,,,,,,
A81026,0,,,,,,,,,,,,
A81027,0,,,,,,,,,,,,
A81029,2,21.0,21.0,26.0,26.0,26.0,-0.0262531055259243,-0.0437713316634689,0.509947116484294,0.534313021118034,0.021541253200148,0.512771767917886,0.9596842069184961
A81030,2,19.0,19.0,19.0,19.0,19.0,-0.23760684305880497,-0.8741206654307311,1.64321003513504,0.509430691247683,0.364831499435128,0.14459919181255498,0.283844680536241
A81031,0,,,,,,,,,,,,
A81032,3,32.0,32.0,35.0,35.0,35.0,-0.0978107321214648,-0.15459084517378,2.66900446140545,0.37963485978903294,0.342987962589784,0.0366468971992491,0.0965319602620638
A81034,0,,,,,,,,,,,,
A81035,0,,,,,,,,,,,,
A81036,2,22.0,22.0,27.0,27.0,27.0,0.0088970092968016,0.0221879429268594,0.505513815364555,0.431583149124815,0.5899825464063101,-0.158399397281495,-0.367019420481788
A81037,3,38.0,38.0,39.0,39.0,38.0,1.1346576573909,7.30088202720532,6.238480313099671,0.15214892475450598,0.21744598640621499,-0.0652970616517093,-0.429165449292968
A81038,2,44.0,44.0,44.0,44.0,44.0,0.17230377518948903,0.32870591680322997,0.763991036404134,0.351884462324449,0.577415609915485,-0.22553114759103499,-0.640923859215721
A81039,0,,,,,,,,,,,,
A81040,0,,,,,,,,,,,,
A81041,2,47.0,47.0,51.0,51.0,51.0,0.0544011371948348,0.190551179003266,0.608630483039183,0.390405268425049,0.569171001364299,-0.17876573293925,-0.45789784974064796
A81042,2,30.0,30.0,45.0,45.0,45.0,-0.0349021707410157,-0.11999220804904301,0.5531875351699711,0.263933083706326,0.0746545740398428,0.189278509666483,0.717145827300265
A81043,4,14.0,14.0,14.0,14.0,39.0,-0.527105498550729,-0.6981028335892421,1.49478489220961,0.787517553174152,0.43488788632519393,0.352629666848957,0.44777372317309705
A81044,2,11.0,11.0,11.0,11.0,11.0,0.0297333278592142,0.0857617220747268,0.653481139689504,0.31696362667846,0.407963430814633,-0.0909998041361736,-0.287098570551401
A81045,5,16.0,16.0,16.0,16.0,55.0,0.40334854421241606,1.8889889791165,1.2224382997899,0.20749283216153397,0.537446944595462,-0.32995411243392797,-1.5901952322722
A81046,0,,,,,,,,,,,,
A81048,1,49.0,49.0,49.0,49.0,49.0,0.0586851650007952,0.174060431806779,0.538461538461538,0.278468801536185,1.04137594654652,-0.762907145010338,-2.73965033354447
A81049,1,29.0,29.0,29.0,29.0,29.0,-0.0155668389825681,-0.0287620517617216,0.515151515151515,0.5567952294858279,0.043089543061082,0.513705686424746,0.9226115081825091
A81051,2,14.0,14.0,17.0,17.0,14.0,0.18893205312217298,0.361717296137141,7.7873913807407495,0.333387601314649,0.357648877509066,-0.024261276194417,-0.0727719810177327
A81052,0,,,,,,,,,,,,
