"","name","is.nbreak","is.tfirst","is.tfirst.pknown","is.tfirst.pknown.offs","is.tfirst.offs","is.tfirst.big","is.slope.ma","is.slope.ma.prop","is.slope.ma.prop.lev","is.intlev.initlev","is.intlev.finallev","is.intlev.levd","is.intlev.levdprop"
"1","ratio_quantity.E84076",17,44,44,44,44,56,0.00589912496313048,NA,154998219574623,NA,3.12250225675825e-17,NA,NA
"2","ratio_quantity.E84078",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","ratio_quantity.E84080",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","ratio_quantity.E84083",15,2,2,6,6,6,-0.00630240952119485,-1.0751910643158,0.600669538192222,0.0108001080010797,0.000307800466786218,0.0104923075342934,0.971500241779485
"5","ratio_quantity.E84086",6,2,2,2,2,5,0.162528216704289,48.4496613995647,29377169576511.3,0.00335908632851007,0,0.00335908632851007,1
"6","ratio_quantity.E84601",6,29,29,30,30,58,-0.0041993281075028,-1.31858902575587,59404854969815.4,2.13224238154002e-17,0.00419932810750276,-0.00419932810750274,-196944219093411
"7","ratio_quantity.E84617",17,2,2,3,3,3,-0.00513347022587202,-1,1.57289527720716,0.00326370757180174,8.62941343695545e-17,0.00326370757180165,0.999999999999974
"8","ratio_quantity.E84620",5,3,3,4,4,4,-0.0106268209611744,-1.06067480771366,315.391978704212,2.27439187364268e-16,9.35478739791384e-07,-9.35478739563945e-07,-4113093923.7207
"9","ratio_quantity.E84635",1,38,38,38,38,38,0.000192549186487855,0.728234443043867,0.541666666666667,7.18563059014365e-05,0.00469303678160996,-0.00462118047570852,-64.3114117506581
"10","ratio_quantity.E84638",3,37,37,38,38,37,0.00568235628373899,NA,94946532700877.2,NA,5.55111512312578e-17,NA,NA
"11","ratio_quantity.E84645",14,48,48,48,48,57,0.00918273645546372,4.19191919191917,1.86547291092746,4.44217162820837e-19,0.00492247108048238,-0.00492247108048238,-11081226689270734
"12","ratio_quantity.E84647",5,26,26,26,26,36,-0.0022467267877762,-140.790112639836,42.849164716565,2.27971242911934e-05,2.27971242914432e-06,2.05174118620491e-05,0.899999999998904
"13","ratio_quantity.E84653",3,17,17,18,18,17,0.0101488497970231,0.999999999999994,13.8270829306032,5.68597968410671e-17,0.000733983432945284,-0.000733983432945228,-12908653806780.9
"14","ratio_quantity.E84658",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","ratio_quantity.E84665",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
