"","name","is.nbreak","is.tfirst","is.tfirst.pknown","is.tfirst.pknown.offs","is.tfirst.offs","is.tfirst.big","is.slope.ma","is.slope.ma.prop","is.slope.ma.prop.lev","is.intlev.initlev","is.intlev.finallev","is.intlev.levd","is.intlev.levdprop"
"1","ratio_quantity.N84007",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","ratio_quantity.N84008",1,6,6,6,6,6,-1.68414147457166,-0.00592836977071355,0.517857142857143,285.765860346327,191.453937770314,94.3119225760129,0.330032154511787
"3","ratio_quantity.N84010",3,3,3,3,3,3,208.742985419403,0.910330368657051,0.555668595267311,20.5616633174589,396.222600785023,-375.660937467564,-18.2699683224844
"4","ratio_quantity.N84011",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","ratio_quantity.N84012",1,2,2,2,2,2,-2.98531740491198,-0.00576233475745058,0.516666666666667,521.059592949566,341.940548654846,179.119044294719,0.3437592296896
"6","ratio_quantity.N84013",4,4,4,4,4,47,-16.7602444804413,-0.0209838895983434,0.501775574598081,811.155560245407,376.931199244455,434.224361000952,0.535315767137911
"7","ratio_quantity.N84014",1,9,9,9,9,9,-2.56853149041031,-0.0067998948390693,0.509433962264151,380.299592219853,244.167423228107,136.132168991746,0.357960333843976
"8","ratio_quantity.N84015",1,32,32,32,32,32,-2.80304397956995,-0.00589307801154543,0.533333333333333,478.453285513513,394.361966126415,84.0913193870986,0.175756593032578
"9","ratio_quantity.N84016",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","ratio_quantity.N84017",1,28,28,28,28,28,-5.82631674868846,-0.00783495140981746,0.529411764705882,749.457826880057,551.36305742465,198.094769455408,0.264317433684111
"11","ratio_quantity.N84018",1,6,6,6,6,6,-1.30549966357881,-0.00331541184445085,0.517857142857143,395.072465829148,321.964484668735,73.1079811604132,0.185049547826573
"12","ratio_quantity.N84019",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","ratio_quantity.N84020",5,16,16,16,16,20,-35.3302299179252,-0.126645012253574,0.592179234603743,267.802274743779,208.14089546295,59.6613792808291,0.222781450747236
"14","ratio_quantity.N84021",1,15,15,15,15,15,-1.98775908692972,-0.00602492412543805,0.51063829787234,331.910434550531,238.485757464834,93.4246770856969,0.281475564973458
"15","ratio_quantity.N84023",2,24,24,24,24,24,27.0072568559479,0.0590480719299084,0.551892190562944,430.370198042261,528.241692938391,-97.8714948961309,-0.227412342539853
"16","ratio_quantity.N84024",1,13,13,13,13,13,-1.53446457731713,-0.00313767522236067,0.510204081632653,490.57952774439,415.39076345585,75.1887642885394,0.153265189508103
"17","ratio_quantity.N84025",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","ratio_quantity.N84026",2,20,20,20,20,20,-71.8968035093319,-0.369820637364071,1.52675913955083,266.306731580904,219.215607875246,47.0911237056579,0.176830391879717
"19","ratio_quantity.N84027",1,12,12,12,12,12,-1.98971294182127,-0.00532567417446109,0.52,375.597424687087,276.111777596024,99.4856470910634,0.264873080996084
"20","ratio_quantity.N84028",1,7,7,7,7,7,-1.63788854708385,-0.00269618679955649,0.509090909090909,609.121222918901,519.037352829289,90.083870089612,0.147891530782545
"21","ratio_quantity.N84029",2,25,25,27,27,25,-13.5525492817933,-0.105546895464059,18.0215142414023,141.955655997597,141.203635434826,0.752020562770383,0.00529757379151638
"22","ratio_quantity.N84034",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","ratio_quantity.N84035",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","ratio_quantity.N84037",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","ratio_quantity.N84038",3,9,9,23,23,23,-7.9705502993401,-0.0234854754732526,0.517996507173397,336.993496262102,275.444430282226,61.5490659798754,0.182641702770444
"26","ratio_quantity.N84041",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","ratio_quantity.N84043",2,19,19,19,19,19,-19.8232978871208,-0.0628376448626717,0.568114317395587,335.291802959893,160.826054780926,174.465748178966,0.520340034080212
"28","ratio_quantity.N84605",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","ratio_quantity.N84611",5,13,13,13,13,40,-183.688681686115,-0.440093644158829,0.866954893220766,422.745586918152,0.149814058289849,422.595772859863,0.999645616505705
"30","ratio_quantity.N84613",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","ratio_quantity.N84614",1,32,32,32,32,32,-2.28776145944836,-0.00602781611261494,0.533333333333333,381.821811056708,313.188967273257,68.6328437834508,0.179750977539776
