"","name","is.nbreak","is.tfirst","is.tfirst.pknown","is.tfirst.pknown.offs","is.tfirst.offs","is.tfirst.big","is.slope.ma","is.slope.ma.prop","is.slope.ma.prop.lev","is.intlev.initlev","is.intlev.finallev","is.intlev.levd","is.intlev.levdprop"
"1","ratio_quantity.A81001",2,38,38,38,38,38,2.36228310428028,0.841346244139093,4.18025717461379,0.445458798338523,1.01056352888624,-0.565104730547714,-1.26859034473098
"2","ratio_quantity.A81002",5,8,8,8,8,47,0.220858760312296,0.0579191064883159,0.553044599395688,4.02022044186261,6.81567549896903,-2.79545505710642,-0.695348699787033
"3","ratio_quantity.A81004",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","ratio_quantity.A81005",1,49,49,49,49,49,0.257317517377622,0.124849727515462,0.538461538461538,1.80370033583119,5.14882806174028,-3.34512772590909,-1.85459172982167
"5","ratio_quantity.A81006",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","ratio_quantity.A81007",2,22,22,40,40,22,0.162572511613946,0.0781072052383191,0.87917567334599,1.91882972417093,2.28865913720558,-0.369829413034651,-0.192736962730991
"7","ratio_quantity.A81009",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","ratio_quantity.A81011",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","ratio_quantity.A81012",1,35,35,35,35,35,0.112672481649339,0.0463727735185818,0.518518518518518,2.31703946137668,5.35919646590882,-3.04215700453215,-1.31295001886789
"10","ratio_quantity.A81013",3,15,15,19,19,19,-0.255673932126201,-0.13177786191207,4.87343003681316,1.10195273323116,1.0494899031105,0.0524628301206576,0.047608965918915
"11","ratio_quantity.A81014",2,29,29,29,29,29,-0.929273424649119,-0.132305519927433,0.615653342908031,7.95296695730603,3.42473640993481,4.52823054737122,0.569376255638953
"12","ratio_quantity.A81016",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","ratio_quantity.A81017",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","ratio_quantity.A81018",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","ratio_quantity.A81019",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","ratio_quantity.A81020",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","ratio_quantity.A81021",2,24,24,24,24,24,-0.286319919379797,-0.0800239844568814,0.822775593534819,3.86424622888607,3.51625350568228,0.347992723203789,0.0900544899552387
"18","ratio_quantity.A81022",2,7,7,7,7,7,-0.125307227634345,-0.0282266627374127,0.531372796786055,4.56462861677816,2.44226733759666,2.1223612791815,0.46495815045727
"19","ratio_quantity.A81023",2,2,2,2,2,2,-0.195175786967834,-0.060439007875881,0.536588625015389,3.4244774222404,1.24207051457735,2.18240690766305,0.637296334176224
"20","ratio_quantity.A81025",2,17,17,19,19,19,-0.0921662552343236,-0.0322647173021359,0.532147445619161,1.5677776514649,0.182202942905143,1.38557470855976,0.883782663482353
"21","ratio_quantity.A81026",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","ratio_quantity.A81027",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","ratio_quantity.A81029",1,19,19,19,19,19,-0.0632129837231076,-0.0193768252360069,0.511627906976744,3.32551126804898,0.607352967955355,2.71815830009363,0.817365536003227
"24","ratio_quantity.A81030",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","ratio_quantity.A81031",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","ratio_quantity.A81032",2,31,31,38,38,38,0.1751123845014,0.0822434281961862,0.524186007042423,2.44323966037504,4.44763179006302,-2.00439212968798,-0.820382937538068
"27","ratio_quantity.A81034",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","ratio_quantity.A81035",1,36,36,36,36,36,-0.064027049102069,-0.0246953192491621,0.538461538461538,2.65670659521651,0.99200331856272,1.66470327665379,0.6266041118922
"29","ratio_quantity.A81036",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","ratio_quantity.A81037",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","ratio_quantity.A81038",15,2,2,3,3,3,-7.14368347262845,-0.68085723230897,4.36142835122686,3.48557734439851,1.84765442159759,1.63792292280092,0.469914381740271
"32","ratio_quantity.A81039",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","ratio_quantity.A81040",3,18,18,26,26,18,0.535963392131549,0.159040541222819,0.588193020750481,2.83401628733052,3.74521953732439,-0.911203249993868,-0.321523646165128
"34","ratio_quantity.A81041",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","ratio_quantity.A81042",2,27,27,27,27,27,1.2123964596149,0.433955630115517,3.00889704773481,1.58142939601961,1.98436656548097,-0.402937169461355,-0.254793018566323
"36","ratio_quantity.A81043",2,18,18,23,23,23,0.0728141376277495,0.0275420899316468,0.576434687465635,3.08537263250892,3.71696315968456,-0.631590527175641,-0.204704780395376
"37","ratio_quantity.A81044",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","ratio_quantity.A81045",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","ratio_quantity.A81046",17,17,17,17,17,29,-3.38696858250412,-0.710466246971519,14.515145698304,3.61762069668735,3.38428038768174,0.233340309005602,0.0645010432462618
"40","ratio_quantity.A81048",2,20,20,31,31,31,0.0886174622823678,0.0267993093245055,0.710777459732717,3.52244430182031,3.8964747148656,-0.374030413045281,-0.106184904854845
"41","ratio_quantity.A81049",2,3,3,3,3,3,-0.459253832919852,-0.0682603309092252,0.51655056575971,7.1872293174012,0.963682111115855,6.22354720628535,0.865917439313832
"42","ratio_quantity.A81051",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","ratio_quantity.A81052",2,28,28,31,31,31,0.107595829953095,0.0375493042008396,0.517793143504085,3.49241874652794,4.94699731544196,-1.45457856891402,-0.416496037412501
"44","ratio_quantity.A81053",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
