"","name","is.nbreak","is.tfirst","is.tfirst.pknown","is.tfirst.pknown.offs","is.tfirst.offs","is.tfirst.big","is.slope.ma","is.slope.ma.prop","is.slope.ma.prop.lev","is.intlev.initlev","is.intlev.finallev","is.intlev.levd","is.intlev.levdprop"
"1","ratio_quantity.E84645",2,12,12,12,12,12,-0.0919256298854646,-0.133748625122089,0.634201350413855,0.779227124024585,0.199438829184295,0.579788294840289,0.744055586573751
"2","ratio_quantity.E84646",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","ratio_quantity.E84647",1,6,6,6,6,6,-0.00671750844339128,-0.00808137911148362,0.517857142857143,0.837950439199692,0.461769966369781,0.376180472829911,0.44892926267715
"4","ratio_quantity.E84653",15,25,25,37,37,58,0.666666666666667,0.668875889758875,87.7317982537458,0.996160107122942,1,-0.00383989287706077,-0.00385469449097992
"5","ratio_quantity.E84656",14,2,2,5,5,3,-0.600000000000152,-0.600000000000166,1.13972377197066,0.500000000000004,0.00121736157591501,0.498782638424089,0.99756527684817
"6","ratio_quantity.E84658",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","ratio_quantity.E84663",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","ratio_quantity.E84665",1,22,22,22,22,22,-0.0132485364911007,-0.0253579415977788,0.525,0.535709574585028,0.00576811494099994,0.529941459644028,0.98923275742184
"9","ratio_quantity.E84674",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","ratio_quantity.E84676",15,2,2,3,3,4,-0.166666666666667,-0.833333333333322,0.833333333333344,0.199999999999998,7.02151164610762e-16,0.199999999999997,0.999999999999997
"11","ratio_quantity.E84681",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","ratio_quantity.E84684",2,22,22,22,22,22,-0.40764676171035,-1.93692131331849,0.705714912004085,0.618107950250806,0.0404713511420862,0.57763659910872,0.934523813962166
"13","ratio_quantity.E84685",2,21,21,21,21,21,-0.555266532884478,-3.49709060777181,0.855472703405924,0.714046100005351,0.0649704127580861,0.649075687247265,0.909010898935518
"14","ratio_quantity.E84693",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","ratio_quantity.E84699",1,31,31,31,31,31,-0.0187946736787305,-0.0259881434289925,0.516129032258064,0.741996534176509,0.159361650135863,0.582634884040645,0.785225883416386
"16","ratio_quantity.E84701",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","ratio_quantity.E84702",6,6,6,7,7,7,-0.333333333333336,-38005060146586.8,10299827621201.9,0.333333333333345,0,0.333333333333345,1
"18","ratio_quantity.E84704",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","ratio_quantity.E84709",2,2,2,2,2,2,-0.0184655517157085,-0.0324097721334189,0.511240669345712,0.588218144843877,0.0464316784226672,0.54178646642121,0.921063845395332
"20","ratio_quantity.E84713",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","ratio_quantity.E85001",9,34,34,35,35,40,0.0666666666666668,1.2,118613323519223,5.68597968410671e-17,4.44089209850063e-16,-3.87229413008996e-16,-6.81024967590665
"22","ratio_quantity.E85003",3,24,24,25,25,25,-0.0952380952380954,-0.999999999999999,15.0442349528615,0.00633053761367688,0,0.00633053761367688,1
"23","ratio_quantity.E85004",3,55,55,56,56,56,-0.166666666666667,-1,36.1880053908372,0.00460557759032702,2.22044604925031e-16,0.0046055775903268,0.999999999999952
"24","ratio_quantity.E85005",1,2,2,2,2,2,-0.0151726803075296,-0.0176551619285381,0.516666666666667,0.874563286235884,0.00972050870669661,0.864842777529187,0.988885299829434
"25","ratio_quantity.E85006",8,19,19,22,22,20,-0.142857142857145,-0.999999999999991,53.999999999786,0.00264550264550631,0,0.00264550264550631,1
"26","ratio_quantity.E85007",2,2,2,2,2,2,-0.0526315789473669,-1264168316454840,1,0.0526315789473669,0,0.0526315789473669,1
"27","ratio_quantity.E85012",17,2,2,2,2,10,-0.0789473684210521,-2.92105263157855,2.52631578947363,0.0312499999999988,2.22044604925031e-16,0.0312499999999986,0.999999999999993
"28","ratio_quantity.E85013",6,14,14,15,15,19,-0.076923076923077,-1.07692307692306,20229532295881,1.81951349891415e-15,0,1.81951349891415e-15,1
"29","ratio_quantity.E85014",15,2,2,2,2,6,0.0624999999999998,1.3125,100214201999048,4.87990308288232e-15,8.86623060495934e-17,4.79124077683272e-15,0.981831133827104
"30","ratio_quantity.E85016",15,32,32,33,33,38,-0.0999999999999985,-1.59999999999998,7.7516998049559,0.0129003963667534,2.88657986402541e-15,0.0129003963667505,0.999999999999776
"31","ratio_quantity.E85021",2,17,17,17,17,17,-0.0730690064715105,-0.107288782105599,0.537231620502098,0.754118833279989,0.00217911798576442,0.751939715294225,0.997110378511187
"32","ratio_quantity.E85023",11,2,2,2,2,2,-1.00000000000002,-4.00000000000268,0.969581749049524,0.999999999999963,0.0010884353741698,0.998911564625793,0.99891156462583
"33","ratio_quantity.E85024",3,26,26,27,27,27,-0.999999999999994,-1.00000000000001,7.87965616046006,0.126909090909081,1.4210854715202e-14,0.126909090909067,0.999999999999888
"34","ratio_quantity.E85025",3,52,52,53,53,52,0.0416666666666667,NA,230953827044641,NA,2.22044604925031e-16,NA,NA
"35","ratio_quantity.E85026",3,20,20,25,25,25,-0.0526995846209977,-4.13247520997783,13.2833276555197,0.000167615344255849,0.000142606721553973,2.50086227018765e-05,0.149202465996807
"36","ratio_quantity.E85028",3,8,8,9,9,8,0.0526315789473683,0.999999999999996,252833663290975,2.27439187364268e-16,4.44089209850063e-16,-2.16650022485794e-16,-0.952562418976664
"37","ratio_quantity.E85029",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","ratio_quantity.E85030",15,2,2,3,3,3,-0.166666666666656,-1,2.16666666666642,0.0769230769230821,2.46577897076337e-15,0.0769230769230796,0.999999999999968
"39","ratio_quantity.E85032",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","ratio_quantity.E85033",3,29,29,30,30,30,-0.0588235294117647,-0.999999999999997,43251857165623,2.27439187364268e-16,2.77555756156289e-17,1.9968361174864e-16,0.877964848813959
"41","ratio_quantity.E85035",15,2,2,2,2,6,-0.333333333333334,-1.66666666666662,139608780424582,3.6390269978283e-15,2.78904771695564e-15,8.4997928087266e-16,0.233573227508318
"42","ratio_quantity.E85038",2,28,28,28,28,28,-0.326325437845792,-106882845111551,0.999999999999972,0.326325437845795,0,0.326325437845795,1
"43","ratio_quantity.E85040",15,2,2,2,2,13,-0.0909090909090905,-3.9090909090938,1.86501194851115,0.0526315789473657,0.00388707037643421,0.0487445085709315,0.926145662847746
"44","ratio_quantity.E85041",4,23,23,28,28,25,-0.897427012708405,-0.911710892938062,8.0573548075492,0.531334231805932,0.0217703272672853,0.509563904538646,0.959027056861571
"45","ratio_quantity.E85045",1,9,9,9,9,9,-0.0124320652734325,-0.0248117916844215,0.509433962264151,0.525918848059997,0.00377210657583271,0.522146741484164,0.992827588154052
"46","ratio_quantity.E85046",3,2,2,4,4,4,-0.234487134906762,-0.947162354606923,13.6327096232067,0.0190731190484522,0.00187278680433245,0.0172003322441198,0.901810144445965
"47","ratio_quantity.E85048",12,2,2,3,3,3,-0.999999999999875,-0.999999999999854,12047668992797.9,5.52392926310967e-14,4.67734510145436e-15,5.05619475296423e-14,0.915325760366068
"48","ratio_quantity.E85049",4,55,55,56,56,61,-0.205116959064327,-0.795802609188882,110.763157894758,0.00185185185185182,3.88578058618805e-16,0.00185185185185144,0.99999999999979
"49","ratio_quantity.E85050",3,13,13,14,14,14,-0.0387692113882591,-20.379358929203,28.627906976771,0.00199283811239215,2.68034715888987e-06,0.00199015776523326,0.998655010087261
"50","ratio_quantity.E85051",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","ratio_quantity.E85052",3,24,24,25,25,25,-0.11111111111111,-0.999999999999998,8.92156862745007,0.0124542124542128,0,0.0124542124542128,1
"52","ratio_quantity.E85054",3,17,17,18,18,18,-0.479545454545456,-0.959090909090905,5.77423033067273,0.0739583333333351,0.000528541226218593,0.0734297921071165,0.992853527082115
"53","ratio_quantity.E85055",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","ratio_quantity.E85056",1,32,32,32,32,32,-0.00780898188281337,-0.0304894782128989,0.533333333333333,0.263929530364673,0.0296600738802721,0.234269456484401,0.887621237989964
"55","ratio_quantity.E85058",17,2,2,2,2,7,-0.29032258064516,-2.10483870967704,1.78437979192245,0.161290322580654,0.00030019482403687,0.160990127756617,0.998138792090971
"56","ratio_quantity.E85059",2,44,44,44,44,44,-0.209827245016764,-7.96345307567715,0.983810397058067,0.236176021486314,0.0228958552630045,0.213280166223309,0.903055970208511
"57","ratio_quantity.E85060",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","ratio_quantity.E85061",4,2,2,4,4,2,-0.499999999999923,-9769196588654.67,1.04203439273449,0.499999999999974,0.0201693883751233,0.479830611624851,0.959661223249751
"59","ratio_quantity.E85062",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","ratio_quantity.E85064",3,21,21,22,22,22,-0.0583079268292681,-35.7733812949571,54.6428571429365,0.00176477485928728,1.17260787995122e-05,0.00175304878048776,0.993355481727427
"61","ratio_quantity.E85071",12,26,26,26,26,29,-1.00000000000001,-1.50000000000003,2.68896637314587,0.371890109890113,1.5394182922942e-14,0.371890109890098,0.999999999999959
"62","ratio_quantity.E85074",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","ratio_quantity.E85077",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","ratio_quantity.E85083",4,4,4,42,42,42,-0.344085528260645,-0.55111594608012,0.533190973488982,0.639297288613985,0.000906108840175612,0.638391179773809,0.99858264870458
"65","ratio_quantity.E85088",5,2,2,9,9,9,-0.169006668916915,-0.315997456991881,1.75477647803761,0.100000000000013,0.00368763712521591,0.0963123628747971,0.963123628747846
"66","ratio_quantity.E85096",3,13,13,13,13,55,0.274263827518033,5.54538077795786,0.713425028400927,0.0420380700229063,0.426470654526941,-0.384432584504034,-9.14486759964383
"67","ratio_quantity.E85098",1,32,32,32,32,32,-0.0247909215343695,-0.0438040958767901,0.533333333333333,0.590740772527759,0.0453404987716294,0.54540027375613,0.923248062635631
"68","ratio_quantity.E85103",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","ratio_quantity.E85108",2,6,6,6,6,6,-0.00468167831239006,-0.0574497078619147,0.514072214663405,0.086173447141622,5.87913607447837e-05,0.0861146557808773,0.999317755495516
"70","ratio_quantity.E85111",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","ratio_quantity.E85112",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","ratio_quantity.E85114",3,3,3,4,4,4,-0.0263157894736842,-0.999999999999992,26521013631920.4,7.9603715577494e-16,0,7.9603715577494e-16,1
"73","ratio_quantity.E85116",3,11,11,12,12,11,0.0384615384615388,173215370283482,46190765408928.5,2.22044604925031e-16,2.22044604925031e-16,0,0
"74","ratio_quantity.E85118",3,29,29,30,30,30,-0.0769230769230769,-0.999999999999995,41991604917207.4,4.54878374728537e-16,1.11022302462516e-16,3.43856072266021e-16,0.755929697627917
"75","ratio_quantity.E85119",2,26,26,26,26,26,-0.108517770434423,-0.423263734477173,0.578839292977214,0.364901111588059,0.0038851373272526,0.361015974260806,0.989352903556954
"76","ratio_quantity.E85120",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","ratio_quantity.E85121",2,58,58,58,58,58,0.376132994879744,0.917397548487181,1.91309980863206,0.033867005120256,0.23047619047619,-0.196609185355934,-5.805331314588
"78","ratio_quantity.E85122",3,51,51,52,52,52,-0.05,-1,554289184907138,0,0.05,-0.05,-Inf
"79","ratio_quantity.E85126",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","ratio_quantity.E85127",12,2,2,3,3,3,-0.200000000000006,-1,19167926272954.2,8.152273372088e-15,1.4252507487562e-15,6.7270226233318e-15,0.825171374449241
"81","ratio_quantity.E85128",15,17,17,19,19,19,-0.111111111111111,-1.00000000000001,2.17645944585904,0.0482104033158149,0.000112007168459938,0.048098396147355,0.997676701276979
"82","ratio_quantity.E85600",3,15,15,16,16,15,0.125000000000001,140737488355330,54260236474344,0,0,0,NA
"83","ratio_quantity.E85605",17,2,2,3,3,6,-0.0445578231292516,-0.623809523809559,0.711134683503631,0.124999999999996,7.67618375019374e-06,0.124992323816246,0.999938590529998
"84","ratio_quantity.E85624",14,2,2,3,3,2,-0.055555555555542,-4846488703114.76,0.999999999999767,0.0555555555555534,0,0.0555555555555534,1
"85","ratio_quantity.E85630",12,50,50,51,51,57,-0.929487179487181,NA,337081853929661,NA,0.499999999999998,NA,NA
"86","ratio_quantity.E85633",15,2,2,2,2,5,-0.0666666666666669,-36368876265506.4,16043557461895.5,3.3769987438595e-15,1.18056456261303e-16,3.2589422875982e-15,0.965041012681462
"87","ratio_quantity.E85635",1,35,35,35,35,35,-0.0279736656284541,-0.0320404405893768,0.518518518518518,0.901047353564223,0.173732047224417,0.727315306339806,0.807188771447811
"88","ratio_quantity.E85643",3,14,14,15,15,15,-0.333333333333332,-1.00000000000001,7.82795698924735,0.042582417582418,1.77635683940025e-15,0.0425824175824162,0.999999999999958
"89","ratio_quantity.E85656",10,4,4,10,10,10,-0.602827505843518,-1.2416938306903,1.01582901367756,0.576527149321246,3.1118787884532e-05,0.576496030533362,0.999946023725125
"90","ratio_quantity.E85657",15,2,2,5,5,5,-0.0769230769230772,-1.15384615384621,12141935343436.7,6.14085805883525e-15,1.59482132431272e-16,5.98137592640398e-15,0.974029340703973
"91","ratio_quantity.E85658",3,23,23,24,24,24,-0.491613649508389,-0.983227299016767,17.6176126061738,0.0401950103037097,0.0122903412377013,0.0279046690660083,0.694232166011734
"92","ratio_quantity.E85659",12,2,2,5,5,5,-1.00000000000001,-1.00000000000002,14.4585381188701,0.666666666666624,0.00116586748462311,0.665500799182001,0.998251198773065
"93","ratio_quantity.E85663",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","ratio_quantity.E85672",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","ratio_quantity.E85680",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","ratio_quantity.E85681",1,4,4,4,4,4,-0.00361048055979449,-0.0192881108565707,0.517241379310345,0.190797322580901,0.00305233347158737,0.187744989109313,0.98400222062711
"97","ratio_quantity.E85682",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","ratio_quantity.E85683",3,26,26,27,27,27,-0.142857142857143,-1.00000000000001,21.4285714285809,0.00666666666666579,2.66453525910038e-15,0.00666666666666312,0.9999999999996
"99","ratio_quantity.E85685",15,17,17,19,19,24,-0.0999999999999996,-106751991167300,5.23357236194965,0.0191074075381159,1.67168859913048e-16,0.0191074075381157,0.999999999999991
"100","ratio_quantity.E85687",2,2,2,2,2,2,-0.999999999999962,-49763531794147.2,0.999999999999954,0.999999999999982,0,0.999999999999982,1
"101","ratio_quantity.E85694",7,53,53,56,56,53,0.500000000000001,NA,562949953421313,NA,4.44089209850063e-16,NA,NA
"102","ratio_quantity.E85696",8,52,52,52,52,55,0.666666666666667,3.33333333333333,3002399751580332,0.166666666666666,6.66133814775094e-16,0.166666666666665,0.999999999999996
"103","ratio_quantity.E85697",1,42,42,42,42,42,-0.016285663383472,-0.0565569202635045,0.55,0.304237399574118,0.0110954586716214,0.293141940902497,0.963530260621629
"104","ratio_quantity.E85699",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","ratio_quantity.E85707",3,11,11,12,12,12,-0.2,-0.999999999999991,27294543196184.8,3.77406901532583e-15,0,3.77406901532583e-15,1
"106","ratio_quantity.E85708",12,2,2,6,6,6,-0.75,-2.24999999999989,1.72598930812778,0.49999999999997,0.0654666014046255,0.434533398595345,0.869066797190741
"107","ratio_quantity.E85712",3,24,24,24,24,30,-0.293180258771551,-3.91592791127303,5.08372081635085,0.00789868305791982,0.00387665677476168,0.00402202628315814,0.509202135807355
