"","name","is.nbreak","is.tfirst","is.tfirst.pknown","is.tfirst.pknown.offs","is.tfirst.offs","is.tfirst.big","is.slope.ma","is.slope.ma.prop","is.slope.ma.prop.lev","is.intlev.initlev","is.intlev.finallev","is.intlev.levd","is.intlev.levdprop"
"1","ratio_quantity.J82063",15,2,2,5,5,8,-0.0806451612903228,-1.33064516129027,0.895449506957426,0.0886075949367034,0.000178260238998584,0.0884293346977048,0.997988205874159
"2","ratio_quantity.J82064",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","ratio_quantity.J82066",2,2,2,2,2,2,-0.00271660510339877,-0.0517293439929909,0.505780682695711,0.0552323513646864,0.00689233608320461,0.0483400152814818,0.875211974270367
"4","ratio_quantity.J82067",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","ratio_quantity.J82069",4,8,8,8,8,8,-0.000705139002427459,-0.0163761815877103,0.515314247621341,0.0448907310475834,0.0106815564671047,0.0342091745804787,0.762054299009243
"6","ratio_quantity.J82071",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","ratio_quantity.J82072",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","ratio_quantity.J82073",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","ratio_quantity.J82074",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","ratio_quantity.J82075",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","ratio_quantity.J82076",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","ratio_quantity.J82077",2,7,7,7,7,7,-0.0396151366855479,-1.77530566822663,1.29581641727475,0.0619296808198658,0.0286785385588741,0.0332511422609916,0.536917707645045
"13","ratio_quantity.J82079",3,16,16,16,16,45,-0.0319205181335115,-0.625489587960927,0.61723385561835,0.051715436285544,0,0.051715436285544,1
"14","ratio_quantity.J82081",1,15,15,15,15,15,-0.000298107249014628,-0.0217550878173891,0.51063829787234,0.0140009822508037,0.000288048796130857,0.0137129334546729,0.979426529441224
"15","ratio_quantity.J82082",3,8,8,8,8,8,-0.0104739118015652,-0.704076164267859,0.738111108062889,0.0253500180143875,0.000156062757661331,0.0251939552567262,0.993843682573608
"16","ratio_quantity.J82083",2,5,5,5,5,5,-0.000678974008690766,-0.031096695492787,0.512971489175402,0.0225132556881785,0.00795354963589019,0.0145597060522883,0.646717038794769
"17","ratio_quantity.J82084",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","ratio_quantity.J82085",5,13,13,28,28,30,-0.0117249877287597,-0.128296764470685,0.540881474181225,0.0903708877625188,0.0253382237402832,0.0650326640222356,0.719619621233906
"19","ratio_quantity.J82087",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","ratio_quantity.J82088",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","ratio_quantity.J82089",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","ratio_quantity.J82090",1,35,35,35,35,35,-0.00403374763466248,-0.0521550198901026,0.518518518518519,0.0813752507759155,0.000700298082665904,0.0806749526932496,0.991394212908857
"23","ratio_quantity.J82092",5,6,6,6,6,29,-0.0144076654527046,-0.117691275816988,0.528177027355329,0.124138885943033,0.0150264883452332,0.109112397597799,0.878954219452808
"24","ratio_quantity.J82094",1,40,40,40,40,40,-0.000807785420139363,-0.0439533460534201,0.545454545454546,0.0191860317351661,0.00141475249210011,0.017771279243066,0.926261328469138
"25","ratio_quantity.J82098",2,2,2,2,2,2,-0.0020759641208743,-0.0329698094909556,0.540739041567205,0.0650415727466622,0.0189720872175773,0.0460694855290849,0.708308295503956
"26","ratio_quantity.J82099",1,57,57,57,57,57,0.00778184806670805,0.352810823331318,0.6,0.0142748677483855,0.0531841080819257,-0.0389092403335403,-2.7257163442331
"27","ratio_quantity.J82101",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","ratio_quantity.J82102",1,28,28,28,28,28,-0.00125643742926458,-0.0187732622521094,0.529411764705882,0.0681834004893689,0.0254645278943732,0.0427188725949957,0.626528924758694
"29","ratio_quantity.J82103",15,2,2,2,2,6,-0.0206349206349206,-2.51746031746058,1.01374015140909,0.0247933884297507,0.00443815182771001,0.0203552366020407,0.82099454294902
"30","ratio_quantity.J82104",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","ratio_quantity.J82106",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","ratio_quantity.J82110",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","ratio_quantity.J82112",2,19,19,19,19,19,-0.00126906951021867,-0.137535924873382,0.695774967757327,0.0104962551447137,0.00684832422156132,0.00364793092315243,0.347545945945268
"34","ratio_quantity.J82114",1,3,3,3,3,3,-0.00103979689065299,-0.0161113180293023,0.508474576271186,0.0655780853635061,0.00423006881497948,0.0613480165485266,0.935495695070514
"35","ratio_quantity.J82115",2,18,18,18,18,18,-0.00796874937598468,-0.0673872665813472,0.568242393586117,0.126221793018364,0.056104273928537,0.0701175190898268,0.555510402863835
"36","ratio_quantity.J82116",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","ratio_quantity.J82119",2,3,3,3,3,3,-0.00520625075935255,-0.0602627995364982,0.544232200413034,0.0915986984948644,0.0246350839057063,0.0669636145891581,0.731054214628525
"38","ratio_quantity.J82120",6,2,2,2,2,6,-0.0270270270270271,-3.78378378378394,1.9729729729728,0.0136986301369875,0,0.0136986301369875,1
"39","ratio_quantity.J82121",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","ratio_quantity.J82122",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","ratio_quantity.J82124",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","ratio_quantity.J82125",1,15,15,15,15,15,-0.00130179756079269,-0.0217976560195322,0.51063829787234,0.0610237034219638,0.00114101562550011,0.0598826877964637,0.981302091457638
"43","ratio_quantity.J82126",1,2,2,2,2,2,-0.000647831706954952,-0.0147975579846739,0.516666666666667,0.0444274680243745,0.00555756560707733,0.0388699024172971,0.874906992133149
"44","ratio_quantity.J82128",2,5,5,5,5,5,-0.00284914092803633,-0.0463251659737848,0.512908189591352,0.0643522325661461,0.00880348162289596,0.0555487509432501,0.863198504980428
"45","ratio_quantity.J82129",3,8,8,9,9,8,0.00662251655629138,0.999999999999996,224565933893036,2.84298984205336e-17,5.55111512312578e-17,-2.70812528107243e-17,-0.952562418976664
"46","ratio_quantity.J82130",4,7,7,7,7,14,-0.00304027902301127,-0.269892714118139,0.633754097244612,0.0139390335383054,1.88349183871672e-06,0.0139371500464667,0.999864876439709
"47","ratio_quantity.J82131",2,2,2,2,2,2,-0.00173624225760759,-0.0694497990943218,0.529663370125445,0.0267362030962207,0.00706813818325851,0.0196680649129622,0.735634182691497
"48","ratio_quantity.J82132",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","ratio_quantity.J82133",3,7,7,22,22,22,-0.00814308163511187,-0.90894529551924,1.9141736165663,0.0071358398916973,0.007338536774339,-0.000202696882641699,-0.0284054695338023
"50","ratio_quantity.J82134",1,7,7,7,7,7,-0.000318968500307856,-0.0118657285202595,0.509090909090909,0.0272004616815526,0.0096571941646205,0.0175432675169321,0.644962123155063
"51","ratio_quantity.J82135",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","ratio_quantity.J82136",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","ratio_quantity.J82138",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","ratio_quantity.J82139",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","ratio_quantity.J82142",1,46,46,46,46,46,-0.000581793660153288,-0.0790226616725279,0.5625,0.00794415842792405,0.000380840845931305,0.00756331758199275,0.952060265491102
"56","ratio_quantity.J82143",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","ratio_quantity.J82144",3,4,4,4,4,4,-0.00172845926632465,-0.0259671252595108,0.516310043092941,0.0686177367878601,0.00166342166470814,0.066954315123152,0.975758138601237
"58","ratio_quantity.J82145",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","ratio_quantity.J82146",1,3,3,3,3,3,-0.000475917080063065,-0.0130208607640229,0.508474576271187,0.0370262718291162,0.00894716410539534,0.0280791077237208,0.758356332857698
"60","ratio_quantity.J82147",15,17,17,18,18,26,-0.0468750000000004,-1.52343750000003,3.7606217444338,0.0124646941877046,2.42981268254202e-16,0.0124646941877044,0.999999999999981
"61","ratio_quantity.J82149",2,28,28,28,28,28,-0.0075396928812157,-0.180057642994273,0.661708814685931,0.0494134659454088,0.00383636185442413,0.0455771040909847,0.922362016486306
"62","ratio_quantity.J82150",1,9,9,9,9,9,-0.00041885932285526,-0.0123069768202948,0.509433962264151,0.0344531578326681,0.0122536137213393,0.0221995441113288,0.644339895319535
"63","ratio_quantity.J82151",3,7,7,8,8,8,-0.0119861475834694,-0.494641179357034,1.6780806874587,0.00771332425744167,0.000570552355560361,0.00714277190188131,0.926030290375787
"64","ratio_quantity.J82152",2,3,3,3,3,3,-0.00159641678656897,-0.0227693220459125,0.507237163010154,0.0719166108976527,0.0184128707327601,0.0535037401648926,0.743969153955765
"65","ratio_quantity.J82154",2,17,17,17,17,17,-0.00601675774758377,-0.118956714201866,0.569347196746009,0.0565961452832341,0.00375705358337713,0.0528390916998569,0.933616440402875
"66","ratio_quantity.J82155",4,6,6,6,6,6,-0.00302271060452896,-0.0541456779856884,0.549743344194907,0.0588482301469735,0.0203594072169027,0.0384888229300707,0.654035352192324
"67","ratio_quantity.J82156",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","ratio_quantity.J82157",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","ratio_quantity.J82161",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","ratio_quantity.J82163",2,12,12,12,12,12,-0.00328865317793214,-0.071267439348976,0.566463676139878,0.0494338943704571,0.00879479743418597,0.0406390969362711,0.822089731222107
"71","ratio_quantity.J82164",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","ratio_quantity.J82174",2,30,30,30,30,30,-0.0144720979543458,-7.39058151409018,2.93886652889355,0.0164302791782122,0.0115058983626621,0.00492438081555014,0.299713763968189
"73","ratio_quantity.J82178",2,12,12,12,12,12,-0.0243188365755791,-0.660179910196815,0.5952774567828,0.0611555173045171,0.02030257335631,0.0408529439482071,0.668017306513563
"74","ratio_quantity.J82180",2,12,12,12,12,12,-0.0748967855626544,-2.44876101830286,0.653934311644576,0.105482369457061,0.000656512662993602,0.104825856794067,0.993776091053199
"75","ratio_quantity.J82181",2,6,6,6,6,6,-0.00684259906641463,-0.280541707623376,0.500641175922188,0.0312332649833725,0.00389792224489133,0.0273353427384811,0.875199655016328
"76","ratio_quantity.J82183",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","ratio_quantity.J82184",15,2,2,6,6,4,-0.0952380952380964,-1.00000000000003,1.05420171326632,0.0869565217391204,8.409721638164e-05,0.0868724245227388,0.999032882011611
"78","ratio_quantity.J82188",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","ratio_quantity.J82192",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","ratio_quantity.J82194",2,7,7,7,7,7,-0.00375000299159225,-0.0292497956161379,0.508687206214998,0.131956129311438,0.0287492052117936,0.103206924099645,0.782130581111994
"81","ratio_quantity.J82196",6,2,2,3,3,3,-0.0701026703899589,-0.602882965353674,3.90313610889937,0.0306748466257702,0.0127142456028844,0.0179606010228858,0.585515593346013
"82","ratio_quantity.J82197",1,31,31,31,31,31,-0.00114782841834168,-0.0634797599863158,0.516129032258065,0.019229629902612,0.000864375209144997,0.018365254693467,0.95504982604852
"83","ratio_quantity.J82198",5,13,13,14,14,13,0.0347296494355319,0.955065359477135,2.63013312897058,0.00163398692810417,0.0148385084228488,-0.0132045214947446,-8.08116715478572
