"","name","is.nbreak","is.tfirst","is.tfirst.pknown","is.tfirst.pknown.offs","is.tfirst.offs","is.tfirst.big","is.slope.ma","is.slope.ma.prop","is.slope.ma.prop.lev","is.intlev.initlev","is.intlev.finallev","is.intlev.levd","is.intlev.levdprop"
"1","ratio_quantity.C81647",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","ratio_quantity.C81649",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","ratio_quantity.C81652",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","ratio_quantity.C81653",6,5,5,6,6,6,-0.240442414041836,-0.999999999999995,77346883305919.8,2.72927024837122e-15,1.77635683940025e-15,9.52913408970971e-16,0.349145860341112
"5","ratio_quantity.C81655",1,15,15,15,15,15,-0.0127931380447535,-0.0258205766300872,0.51063829787234,0.508256048421682,0.0093236646762947,0.498932383745387,0.981655575560295
"6","ratio_quantity.C81658",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","ratio_quantity.C81660",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","ratio_quantity.C81661",3,19,19,20,20,20,-0.389105058365762,-0.999999999999991,18.0070038910351,0.0216085396948936,0,0.0216085396948936,1
"9","ratio_quantity.C81662",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","ratio_quantity.C82001",10,43,43,45,45,45,-0.0458309339243749,-1.99216594628009,254.295670862632,0.000180226953014535,0.0408747189863069,-0.0406944920332923,-225.795816622447
"11","ratio_quantity.C82002",3,7,7,8,8,8,-0.455950802143355,-0.977558519795358,14.5182497707229,0.0311832500646087,0.000181260666412442,0.0310019893981962,0.994187242637092
"12","ratio_quantity.C82003",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","ratio_quantity.C82005",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","ratio_quantity.C82007",3,7,7,9,9,7,0.146188932647176,0.920833468435894,5.06082127472582,0.0125682559848674,0.0414546609202198,-0.0288864049353523,-2.29836223658497
"15","ratio_quantity.C82008",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","ratio_quantity.C82009",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","ratio_quantity.C82010",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","ratio_quantity.C82011",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","ratio_quantity.C82012",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","ratio_quantity.C82013",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","ratio_quantity.C82014",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","ratio_quantity.C82016",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","ratio_quantity.C82017",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","ratio_quantity.C82018",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
