"","name","is.nbreak","is.tfirst","is.tfirst.pknown","is.tfirst.pknown.offs","is.tfirst.offs","is.tfirst.big","is.slope.ma","is.slope.ma.prop","is.slope.ma.prop.lev","is.intlev.initlev","is.intlev.finallev","is.intlev.levd","is.intlev.levdprop"
"1","ratio_quantity.C81660",4,5,5,5,5,47,-429.907890299719,-1.06609004880022,1.56355453684594,274.955481352728,429.907890299718,-154.95240894699,-0.563554536845946
"2","ratio_quantity.C81661",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","ratio_quantity.C81662",2,8,8,8,8,8,5.65114487042877,0.0110578772306923,0.511401351812113,503.649604823349,647.303670373345,-143.654065549996,-0.285226205231278
"4","ratio_quantity.C82001",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","ratio_quantity.C82002",1,13,13,13,13,13,2.95957160475431,0.0122234921614128,0.510204081632653,239.162038625186,384.181047258147,-145.019008632961,-0.606362989154121
"6","ratio_quantity.C82003",1,38,38,38,38,38,2.69261647504143,0.0128680553176908,0.541666666666667,206.555510655688,271.178306056683,-64.6227954009944,-0.31285921733996
"7","ratio_quantity.C82005",1,24,24,24,24,24,2.83789158511707,0.00778593373161754,0.526315789473684,361.651671637443,469.491551871891,-107.839880234449,-0.298187147168944
"8","ratio_quantity.C82007",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","ratio_quantity.C82008",1,41,41,41,41,41,4.65617834201461,0.00998116768973668,0.523809523809524,461.840176268119,559.619921450426,-97.7797451823068,-0.211717711465495
"10","ratio_quantity.C82009",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","ratio_quantity.C82010",2,3,3,3,3,3,2.72765456625851,0.00898366404480026,0.52671447288829,300.896184510546,378.575497686653,-77.6793131761071,-0.258159847731085
"12","ratio_quantity.C82011",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","ratio_quantity.C82012",1,12,12,12,12,12,-2.10223892111372,-0.00408575756286793,0.52,516.630790546211,411.518844490525,105.111946055686,0.203456603785763
"14","ratio_quantity.C82013",1,7,7,7,7,7,3.15952284776379,0.00962497043654928,0.509090909090909,325.103599474774,498.877356101783,-173.773756627008,-0.534518094871146
"15","ratio_quantity.C82014",1,2,2,2,2,2,1.26047290414965,0.00392838943536983,0.516666666666667,319.602039554721,395.2304138037,-75.628374248979,-0.236632952512902
"16","ratio_quantity.C82016",2,47,47,60,60,60,-129.545066866506,-0.41084150233004,0.859054626377775,306.986364740712,156.186796367819,150.799568372893,0.491225623327805
"17","ratio_quantity.C82017",1,12,12,12,12,12,1.73002720342007,0.00506127871525739,0.52,340.086201609438,426.587561780442,-86.5013601710036,-0.254351278474813
"18","ratio_quantity.C82018",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","ratio_quantity.C82019",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","ratio_quantity.C82020",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","ratio_quantity.C82021",1,45,45,45,45,45,3.43823259771827,0.0125344691953175,0.529411764705882,270.863977104364,329.313931265574,-58.4499541612106,-0.215790799448721
"22","ratio_quantity.C82022",1,25,25,25,25,25,2.63428670164837,0.0108795162470375,0.513513513513513,239.498418634923,336.967026595913,-97.4686079609897,-0.4069697349842
"23","ratio_quantity.C82024",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","ratio_quantity.C82025",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","ratio_quantity.C82026",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","ratio_quantity.C82027",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","ratio_quantity.C82028",1,15,15,15,15,15,3.8054018644284,0.00884500050076842,0.51063829787234,426.426553927751,605.280441555885,-178.853887628135,-0.419424836424323
"28","ratio_quantity.C82029",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","ratio_quantity.C82030",2,15,15,19,19,19,1.68826899255854,0.00671406710374813,0.584006397514847,265.987846888753,280.442046361076,-14.4541994723236,-0.0543415785397479
"30","ratio_quantity.C82031",2,11,11,11,11,11,-2.70190474739531,-0.0106627814207004,0.506332197321644,258.198575348267,188.827593408072,69.3709819401951,0.268672984917229
"31","ratio_quantity.C82032",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","ratio_quantity.C82033",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","ratio_quantity.C82034",1,5,5,5,5,5,1.186156429879,0.00669043115014225,0.508771929824561,176.105321990578,243.716238493681,-67.6109165031031,-0.383923187209074
"34","ratio_quantity.C82035",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","ratio_quantity.C82037",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","ratio_quantity.C82038",1,15,15,15,15,15,1.84045450953742,0.00556437395361901,0.51063829787234,328.916343088584,415.417705036842,-86.5013619482587,-0.262988944653815
"37","ratio_quantity.C82039",1,29,29,29,29,29,3.0296637772922,0.0105934516292845,0.515151515151515,282.964352461666,382.943257112308,-99.9789046506427,-0.353326854711097
"38","ratio_quantity.C82040",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","ratio_quantity.C82041",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","ratio_quantity.C82042",1,17,17,17,17,17,1.74073772751448,0.00535962436173217,0.511111111111111,323.046525339537,401.379723077689,-78.3331977381518,-0.24248271253133
"41","ratio_quantity.C82043",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","ratio_quantity.C82044",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","ratio_quantity.C82045",3,20,20,21,21,21,-217.006918295722,-0.363620135159551,17.1942700167939,387.515957338576,374.895071538613,12.6208857999635,0.0325686866849112
"44","ratio_quantity.C82046",1,15,15,15,15,15,2.11412257937319,0.00640729439849277,0.51063829787234,327.841463645994,427.205224876534,-99.36376123054,-0.303084790207726
"45","ratio_quantity.C82047",2,3,3,3,3,3,3.81809417956602,0.0109504952738522,0.51587442242568,344.850535328265,441.066246316551,-96.2157109882861,-0.279006993266512
"46","ratio_quantity.C82048",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","ratio_quantity.C82050",2,5,5,5,5,5,174.674518591854,0.304529361979677,1.47546877386363,398.913911293313,517.299689214222,-118.385777920909,-0.296770241822583
"48","ratio_quantity.C82051",1,8,8,8,8,8,3.63884478782628,0.0139165097230586,0.518518518518519,257.837980956561,454.335599499181,-196.497618542619,-0.762097258959391
"49","ratio_quantity.C82052",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","ratio_quantity.C82053",1,21,21,21,21,21,3.03969669517196,0.00848678912155841,0.512195121951219,355.128351506995,479.755916009046,-124.62756450205,-0.350936679578497
"51","ratio_quantity.C82054",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","ratio_quantity.C82055",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","ratio_quantity.C82056",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","ratio_quantity.C82059",2,20,20,28,28,28,-4.24993889510948,-0.0137259390098481,0.934939304108438,292.702461355673,283.611092800658,9.09136855501492,0.0310601028529367
"55","ratio_quantity.C82060",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","ratio_quantity.C82061",2,14,14,15,15,15,2.02444173036724,0.00434635262094692,0.58834512452257,540.282759751883,560.928210654634,-20.6454509027506,-0.0382123074077575
"57","ratio_quantity.C82062",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","ratio_quantity.C82063",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","ratio_quantity.C82064",1,23,23,23,23,23,2.39952638755897,0.00569310230930163,0.512820512820513,419.08005665779,512.66158577259,-93.5815291147998,-0.223302272747414
"60","ratio_quantity.C82066",1,3,3,3,3,3,1.07089901123041,0.00401118635773773,0.508474576271186,265.907225593877,329.090267256472,-63.1830416625943,-0.237613105553944
"61","ratio_quantity.C82067",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","ratio_quantity.C82068",1,9,9,9,9,9,1.39342539718125,0.00457679704231036,0.509433962264151,303.060843450591,376.912389501197,-73.8515460506061,-0.243685542512675
"63","ratio_quantity.C82070",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","ratio_quantity.C82071",1,5,5,5,5,5,1.52872104452038,0.00493914271967448,0.508771929824561,307.982692430313,395.119791967975,-87.1370995376618,-0.282928559556567
"65","ratio_quantity.C82072",17,2,2,5,5,5,298.232734693283,0.665384438464756,1.74000676480735,576.362158925652,747.759615950082,-171.39745702443,-0.297378053659729
"66","ratio_quantity.C82073",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","ratio_quantity.C82075",1,24,24,24,24,24,3.17434878118975,0.00847595888553266,0.526315789473684,371.337706321855,491.962960007065,-120.62525368521,-0.324839766152536
"68","ratio_quantity.C82076",3,7,7,9,9,7,125.175892788221,0.429408402482905,0.638529871810295,166.331893422843,362.369539137575,-196.037645714732,-1.17859324318742
"69","ratio_quantity.C82077",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","ratio_quantity.C82078",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","ratio_quantity.C82079",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","ratio_quantity.C82080",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","ratio_quantity.C82082",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","ratio_quantity.C82084",2,10,10,10,10,10,-17.2745600577864,-0.14392212052886,0.56199044380844,137.301696917005,75.8253488826083,61.4763480343969,0.447746454812991
"75","ratio_quantity.C82086",2,11,11,11,11,11,-2.03255765813947,-0.00948071011999842,0.503324526329343,217.694956148943,161.1592506043,56.5357055446428,0.259701494902629
"76","ratio_quantity.C82088",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","ratio_quantity.C82091",1,28,28,28,28,28,2.13646529129793,0.00627131255327867,0.529411764705882,338.536284336047,411.176104240177,-72.6398199041296,-0.214570264001669
"78","ratio_quantity.C82092",15,2,2,2,2,2,113.727044351093,0.558686249549796,1.00014645944688,89.834515366436,203.544905756648,-113.710390390212,-1.26577618776465
"79","ratio_quantity.C82093",15,32,32,34,34,34,398.572482707852,1.32083478249057,5.32644028953862,287.399991208987,362.22904420535,-74.8290529963629,-0.260365536831036
"80","ratio_quantity.C82094",1,3,3,3,3,3,2.20110671959328,0.00965451076564878,0.508474576271186,225.7862841511,355.651580607103,-129.865296456004,-0.575169111552834
"81","ratio_quantity.C82095",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","ratio_quantity.C82096",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","ratio_quantity.C82097",1,42,42,42,42,42,8.8787377993729,0.0580688175055166,0.55,144.021530895257,321.596286882715,-177.574755987458,-1.23297367333641
"84","ratio_quantity.C82098",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","ratio_quantity.C82099",1,39,39,39,39,39,3.12388303805103,0.0192745062241893,0.521739130434783,158.949427775514,230.798737650688,-71.8493098751738,-0.452026225452332
"86","ratio_quantity.C82100",1,16,16,16,16,16,7.66054168948489,0.0117245571302247,0.521739130434783,645.715240815493,998.100158531798,-352.384917716305,-0.545728047662724
"87","ratio_quantity.C82102",2,18,18,19,19,19,3.32779522862657,0.0133713154161831,0.552252293323849,349.789852879039,391.970875723114,-42.1810228440744,-0.12058961258279
"88","ratio_quantity.C82103",2,4,4,4,4,4,-29.6449677210353,-0.0471362870031895,0.650540015970358,658.565266832192,521.85591616996,136.709350662232,0.207586639544212
"89","ratio_quantity.C82105",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","ratio_quantity.C82107",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","ratio_quantity.C82109",1,10,10,10,10,10,1.81546451564329,0.00719668231952095,0.519230769230769,250.448625385735,344.852780199186,-94.4041548134512,-0.376940199484235
"92","ratio_quantity.C82111",2,10,10,10,10,10,-0.91809072885502,-0.0543479133312657,0.582729409820016,17.8109330217872,11.5089292898075,6.30200373197972,0.353827827226726
"93","ratio_quantity.C82112",2,24,24,40,40,40,-5.64273500819355,-0.0260963384202004,0.652112480255991,209.549943654725,192.243926122355,17.3060175323695,0.0825866007431839
"94","ratio_quantity.C82114",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","ratio_quantity.C82116",1,3,3,3,3,3,0.933259887974968,0.00657532823906343,0.508474576271186,141.000321835072,196.062655225595,-55.0623333905231,-0.390512111418649
"96","ratio_quantity.C82119",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","ratio_quantity.C82120",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","ratio_quantity.C82121",1,27,27,27,27,27,2.63050397812934,0.00784712034442804,0.514285714285714,332.588514294882,424.656153529409,-92.0676392345269,-0.27682146339214
"99","ratio_quantity.C82122",2,33,33,33,33,33,7.52763940445652,0.0603865318925283,0.526382972917111,117.129948447313,160.032016666236,-42.9020682189233,-0.366277530107694
"100","ratio_quantity.C82124",2,33,33,33,33,33,8.15129785475854,0.133626840402325,0.507289092361225,52.8491555737333,68.9175039326888,-16.0683483589555,-0.304041723742161
"101","ratio_quantity.C82600",1,42,42,42,42,42,6.75326563315701,0.0182367739436457,0.55,363.557056467976,498.622369131117,-135.06531266314,-0.37151063432883
"102","ratio_quantity.C82610",1,11,11,11,11,11,-1.26579805444711,-0.00464590721437463,0.509803921568627,273.720239359404,209.164538582602,64.5557007768026,0.235845551384451
"103","ratio_quantity.C82611",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","ratio_quantity.C82614",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","ratio_quantity.C82620",1,6,6,6,6,6,-0.888992199229584,-0.00511812020966632,0.517857142857143,174.584052653377,124.80048949652,49.7835631568567,0.285155272776822
"106","ratio_quantity.C82623",2,18,18,18,18,18,41.6146244525784,0.111232719092214,0.537643446027639,332.507529462217,409.909429848146,-77.4019003859283,-0.232782398976392
"107","ratio_quantity.C82624",1,34,34,34,34,34,-3.29124529497257,-0.00703646933890862,0.535714285714286,471.032258074409,378.877389815177,92.154868259232,0.195644494999054
"108","ratio_quantity.C82626",3,19,19,19,19,19,21.318545933754,0.0604420877954973,0.50937346000222,331.391737765979,415.096711062629,-83.7049732966501,-0.252586180515341
