,pct_id,stp_id,regional_team_id,month,numerator,denominator,calc_value,percentile
0,00R,QE1,Y62,2020-12-01,3385,6858,0.49358413531641876,0.0
1,00R,QE1,Y62,2020-05-01,2770,5833,0.474884279101663,0.0
2,00R,QE1,Y62,2022-08-01,4099,6840,0.5992690058479532,0.0
3,00R,QE1,Y62,2022-10-01,3980,6582,0.6046794287450623,0.0
4,00R,QE1,Y62,2022-09-01,4074,6855,0.5943107221006565,0.0
5,00R,QE1,Y62,2021-05-01,3208,6138,0.5226458129683936,0.0
6,00R,QE1,Y62,2021-06-01,3584,6720,0.5333333333333333,0.0
7,00R,QE1,Y62,2022-07-01,3981,6735,0.5910913140311804,0.0
8,00R,QE1,Y62,2020-11-01,3096,6276,0.4933078393881453,0.0
9,00R,QE1,Y62,2021-02-01,2896,5699,0.5081593261975785,0.0
10,00R,QE1,Y62,2023-03-01,4578,7203,0.6355685131195336,0.0
11,00R,QE1,Y62,2021-10-01,3460,6433,0.5378517021607337,0.0
12,00R,QE1,Y62,2021-07-01,3456,6457,0.5352330803778844,0.0
13,00R,QE1,Y62,2022-11-01,4163,6850,0.6077372262773723,0.0
14,00R,QE1,Y62,2022-02-01,3331,5970,0.5579564489112228,0.0
15,00R,QE1,Y62,2022-03-01,3889,6871,0.5660020375491195,0.0
16,00R,QE1,Y62,2022-06-01,3770,6434,0.5859496425240908,0.0
17,00R,QE1,Y62,2021-04-01,3280,6221,0.5272464234045974,0.0
18,00R,QE1,Y62,2021-09-01,3696,6857,0.5390112294006125,0.0
19,00R,QE1,Y62,2021-11-01,3659,6632,0.5517189384800965,0.0
20,00R,QE1,Y62,2022-04-01,3691,6445,0.5726920093095422,0.0
21,00R,QE1,Y62,2023-04-01,4126,6437,0.6409818238309771,0.0
22,00R,QE1,Y62,2020-09-01,3164,6455,0.49016266460108443,0.0
23,00R,QE1,Y62,2021-08-01,3267,6011,0.5435035767759109,0.0
24,00R,QE1,Y62,2020-07-01,3194,6563,0.4866676824622886,0.0
25,00R,QE1,Y62,2023-01-01,4235,6796,0.6231606827545615,0.0
26,00R,QE1,Y62,2020-10-01,3177,6555,0.48466819221967966,0.0
27,00R,QE1,Y62,2021-03-01,3423,6583,0.5199756949718973,0.0
28,00R,QE1,Y62,2021-12-01,3779,6887,0.5487149702337738,0.0
29,00R,QE1,Y62,2020-06-01,2899,6030,0.48076285240464345,0.0
30,00R,QE1,Y62,2022-01-01,3506,6341,0.5529096357041476,0.0
31,00R,QE1,Y62,2022-05-01,3994,6848,0.5832359813084113,0.0
32,00R,QE1,Y62,2022-12-01,4276,7098,0.6024232178078331,0.0
33,00R,QE1,Y62,2023-02-01,3827,6163,0.6209638163232192,0.0
34,00R,QE1,Y62,2020-08-01,2826,5888,0.47995923913043476,0.0
35,00R,QE1,Y62,2021-01-01,3204,6244,0.5131326073030109,0.0
36,00R,QE1,Y62,2023-05-01,4479,6983,0.6414148646713447,0.0
37,03R,QWO,Y63,2019-01-01,4523,13083,0.3457158144156539,0.0
38,03R,QWO,Y63,2020-04-01,5974,12923,0.462276561170007,0.0
39,03R,QWO,Y63,2020-02-01,5371,11746,0.45726204665418013,0.0
40,03R,QWO,Y63,2019-05-01,5074,12969,0.39124065078263554,0.0
41,03R,QWO,Y63,2019-10-01,5505,13165,0.41815419673376375,0.0
42,03R,QWO,Y63,2019-04-01,4677,12414,0.3767520541324311,0.0
43,03R,QWO,Y63,2018-08-01,4257,13250,0.32128301886792454,0.0
44,03R,QWO,Y63,2019-08-01,5555,13767,0.4035011258807293,0.0
45,03R,QWO,Y63,2019-06-01,4870,12345,0.39449169704333736,0.0
46,03R,QWO,Y63,2019-11-01,5375,12455,0.4315535929345644,0.0
47,03R,QWO,Y63,2018-10-01,4356,13019,0.33458790997772486,0.0
48,03R,QWO,Y63,2019-02-01,4138,11429,0.36206142269664887,0.0
49,03R,QWO,Y63,2019-09-01,5096,12403,0.4108683383052487,0.0
50,03R,QWO,Y63,2018-09-01,4069,12162,0.33456668311133037,0.0
51,03R,QWO,Y63,2018-05-01,3824,12782,0.29917070880926305,0.0
52,03R,QWO,Y63,2018-07-01,3947,12628,0.3125593918276845,0.0
53,03R,QWO,Y63,2020-01-01,5934,13169,0.45060369048523047,0.0
