,pct_id,stp_id,regional_team_id,month,numerator,denominator,calc_value,percentile
0,01H,QHM,Y63,2019-12-01,28,1309,0.0213903743315508,0.8095238095238095
1,01H,QHM,Y63,2018-11-01,40,1333,0.030007501875468866,0.8
2,01H,QHM,Y63,2018-12-01,38,1288,0.029503105590062112,0.8
3,01H,QHM,Y63,2018-08-01,37,1256,0.02945859872611465,0.8
4,01H,QHM,Y63,2018-10-01,43,1270,0.03385826771653543,0.8095238095238095
5,01H,QHM,Y63,2020-02-01,19,1190,0.015966386554621848,0.7619047619047619
6,01H,QHM,Y63,2019-01-01,43,1255,0.034262948207171316,0.8
7,01H,QHM,Y63,2018-07-01,47,1256,0.037420382165605094,0.8095238095238095
8,01H,QHM,Y63,2019-03-01,33,1217,0.027115858668857847,0.8
9,01H,QHM,Y63,2019-08-01,34,1270,0.026771653543307086,0.8
10,01H,QHM,Y63,2019-10-01,37,1293,0.028615622583139984,0.8
11,01H,QHM,Y63,2019-04-01,32,1210,0.026446280991735537,0.8
12,01H,QHM,Y63,2019-07-01,33,1331,0.024793388429752067,0.7904761904761904
13,01H,QHM,Y63,2021-07-01,19,1357,0.01400147383935151,0.8
14,01H,QHM,Y63,2021-10-01,16,1336,0.011976047904191617,0.7904761904761904
15,01H,QHM,Y63,2019-06-01,33,1165,0.02832618025751073,0.8
16,01H,QHM,Y63,2018-05-01,34,1261,0.02696272799365583,0.8
17,01H,QHM,Y63,2019-02-01,29,1157,0.025064822817631807,0.7904761904761904
18,01H,QHM,Y63,2019-11-01,19,1215,0.015637860082304528,0.7714285714285715
19,01H,QHM,Y63,2021-06-01,16,1380,0.011594202898550725,0.7904761904761904
20,01H,QHM,Y63,2018-09-01,40,1195,0.03347280334728033,0.8
21,01H,QHM,Y63,2018-06-01,43,1245,0.03453815261044177,0.8
22,01H,QHM,Y63,2020-06-01,19,1267,0.01499605367008682,0.7619047619047619
23,03W,QK1,Y60,2019-01-01,50,1090,0.045871559633027525,0.8380952380952381
24,03W,QK1,Y60,2018-09-01,50,1044,0.04789272030651341,0.8380952380952381
25,03W,QK1,Y60,2018-08-01,56,1116,0.05017921146953405,0.8380952380952381
26,03W,QK1,Y60,2019-10-01,40,1154,0.03466204506065858,0.819047619047619
27,03W,QK1,Y60,2018-06-01,45,1070,0.04205607476635514,0.819047619047619
28,03W,QK1,Y60,2019-06-01,41,1048,0.039122137404580155,0.8476190476190476
29,03W,QK1,Y60,2019-05-01,43,1150,0.03739130434782609,0.819047619047619
30,03W,QK1,Y60,2018-10-01,46,1132,0.04063604240282685,0.8285714285714286
31,03W,QK1,Y60,2018-12-01,45,1092,0.04120879120879121,0.8476190476190476
32,03W,QK1,Y60,2018-05-01,45,1083,0.04155124653739612,0.8095238095238095
33,03W,QK1,Y60,2019-08-01,42,1218,0.034482758620689655,0.8285714285714286
34,03W,QK1,Y60,2019-04-01,40,1041,0.03842459173871278,0.8380952380952381
35,03W,QK1,Y60,2018-11-01,44,1102,0.039927404718693285,0.819047619047619
36,03W,QK1,Y60,2018-07-01,32,1063,0.030103480714957668,0.8
37,03W,QK1,Y60,2019-03-01,45,1068,0.042134831460674156,0.8380952380952381
38,03W,QK1,Y60,2019-09-01,39,1055,0.03696682464454976,0.8285714285714286
39,03W,QK1,Y60,2019-02-01,37,950,0.03894736842105263,0.8285714285714286
40,03W,QK1,Y60,2019-07-01,40,1019,0.03925417075564279,0.8380952380952381
41,04C,QK1,Y60,2020-09-01,54,1061,0.05089538171536286,0.9333333333333333
42,04C,QK1,Y60,2018-07-01,70,1076,0.06505576208178439,0.8761904761904762
43,04C,QK1,Y60,2018-10-01,72,1146,0.06282722513089005,0.8761904761904762
44,04C,QK1,Y60,2019-02-01,60,948,0.06329113924050633,0.8666666666666667
45,04C,QK1,Y60,2018-05-01,79,1076,0.07342007434944238,0.8761904761904762
46,04C,QK1,Y60,2019-12-01,60,1024,0.05859375,0.9238095238095239
